time	V(vctrl)	V(vee)	V(vo)	V(vs)
0.000000000000000e+00	0.000000e+00	2.400000e+01	9.085909e+00	-4.348218e-01
1.423067332527971e-08	0.000000e+00	2.400000e+01	9.085958e+00	-4.339949e-01
4.269201997562228e-08	0.000000e+00	2.400000e+01	9.086057e+00	-4.336870e-01
9.961471327630742e-08	0.000000e+00	2.400000e+01	9.086250e+00	-4.330794e-01
2.030099757813209e-07	0.000000e+00	2.400000e+01	9.086585e+00	-4.319569e-01
4.098005007913477e-07	0.000000e+00	2.400000e+01	9.087193e+00	-4.296875e-01
8.233815508114015e-07	0.000000e+00	2.400000e+01	9.088165e+00	-4.249851e-01
8.454588569599929e-07	0.000000e+00	2.400000e+01	9.088207e+00	-4.247302e-01
8.509781834970323e-07	0.000000e+00	2.400000e+01	9.088218e+00	-4.246658e-01
8.620168365713280e-07	0.000000e+00	2.400000e+01	9.088239e+00	-4.245370e-01
8.647764998398477e-07	0.000000e+00	2.400000e+01	9.088243e+00	-4.245048e-01
8.702958263768872e-07	0.000000e+00	2.400000e+01	9.088254e+00	-4.244403e-01
8.727105317370316e-07	0.000000e+00	2.400000e+01	9.088259e+00	-4.244121e-01
8.740903633713999e-07	0.000000e+00	2.400000e+01	9.088262e+00	-4.243959e-01
8.742913695223599e-07	0.000000e+00	2.400000e+01	9.088262e+00	-4.243936e-01
8.754974064276860e-07	0.000000e+00	2.400000e+01	9.088264e+00	-4.243795e-01
8.760682088241375e-07	0.000000e+00	2.400000e+01	9.088265e+00	-4.243728e-01
8.763889927543723e-07	0.000000e+00	2.400000e+01	9.088265e+00	-4.243691e-01
8.767281147040781e-07	0.000000e+00	2.400000e+01	9.088266e+00	-4.243651e-01
8.769665557858443e-07	0.000000e+00	2.400000e+01	9.088266e+00	-4.243623e-01
8.771976050612595e-07	0.000000e+00	2.400000e+01	9.088267e+00	-4.243596e-01
8.774080091375827e-07	0.000000e+00	2.400000e+01	9.088267e+00	-4.243572e-01
8.776268819728032e-07	0.000000e+00	2.400000e+01	9.088268e+00	-4.243546e-01
8.780646276432442e-07	0.000000e+00	2.400000e+01	9.088268e+00	-4.243495e-01
8.784427660577052e-07	0.000000e+00	2.400000e+01	9.088269e+00	-4.243450e-01
8.788630307002363e-07	0.000000e+00	2.400000e+01	9.088270e+00	-4.243401e-01
8.789455916106016e-07	0.000000e+00	2.400000e+01	9.088270e+00	-4.243392e-01
8.794409570734435e-07	0.000000e+00	2.400000e+01	9.088271e+00	-4.243334e-01
8.800295410553438e-07	0.000000e+00	2.400000e+01	9.088272e+00	-4.243265e-01
8.811217881495460e-07	0.000000e+00	2.400000e+01	9.088274e+00	-4.243137e-01
8.821790982522972e-07	0.000000e+00	2.400000e+01	9.088276e+00	-4.243014e-01
8.828522817532110e-07	0.000000e+00	2.400000e+01	9.088278e+00	-4.242935e-01
8.830974153556468e-07	0.000000e+00	2.400000e+01	9.088278e+00	-4.242906e-01
8.832428427009431e-07	0.000000e+00	2.400000e+01	9.088278e+00	-4.242889e-01
8.833513142475751e-07	0.000000e+00	2.400000e+01	9.088279e+00	-4.242876e-01
8.834768069451888e-07	0.000000e+00	2.400000e+01	9.088279e+00	-4.242862e-01
8.837277923404163e-07	0.000000e+00	2.400000e+01	9.088279e+00	-4.242832e-01
8.840750911878661e-07	0.000000e+00	2.400000e+01	9.088280e+00	-4.242792e-01
8.847696888825488e-07	0.000000e+00	2.400000e+01	9.088281e+00	-4.242710e-01
8.860508937265886e-07	0.000000e+00	2.400000e+01	9.088284e+00	-4.242560e-01
8.863711949377070e-07	0.000000e+00	2.400000e+01	9.088284e+00	-4.242523e-01
8.870117973597269e-07	0.000000e+00	2.400000e+01	9.088285e+00	-4.242448e-01
8.882930022037668e-07	0.000000e+00	2.400000e+01	9.088287e+00	-4.242298e-01
8.908554118920633e-07	0.000000e+00	2.400000e+01	9.088292e+00	-4.241998e-01
8.959802312686563e-07	0.000000e+00	2.400000e+01	9.088302e+00	-4.241397e-01
9.062298700218425e-07	0.000000e+00	2.400000e+01	9.088320e+00	-4.240195e-01
9.677277025409593e-07	0.000000e+00	2.400000e+01	9.088428e+00	-4.232952e-01
9.999999999999159e-07	0.000000e+00	2.400000e+01	9.088480e+00	-4.229130e-01
1.003227229745725e-06	0.000000e+00	2.400000e+01	9.088486e+00	-4.228747e-01
1.031811264637950e-06	0.000000e+00	2.400000e+01	9.088531e+00	-4.225348e-01
1.060395299530175e-06	0.000000e+00	2.400000e+01	9.088575e+00	-4.221937e-01
1.088979334422400e-06	0.000000e+00	2.400000e+01	9.088617e+00	-4.218515e-01
1.117563369314625e-06	0.000000e+00	2.400000e+01	9.088657e+00	-4.215080e-01
1.146147404206849e-06	0.000000e+00	2.400000e+01	9.088696e+00	-4.211634e-01
1.174731439099074e-06	0.000000e+00	2.400000e+01	9.088734e+00	-4.208175e-01
1.203315473991299e-06	0.000000e+00	2.400000e+01	9.088770e+00	-4.204705e-01
1.229133311958421e-06	0.000000e+00	2.400000e+01	9.088801e+00	-4.201559e-01
1.235587771450256e-06	0.000000e+00	2.400000e+01	9.088808e+00	-4.200771e-01
1.248496690433925e-06	0.000000e+00	2.400000e+01	9.088823e+00	-4.199194e-01
1.274314528401047e-06	0.000000e+00	2.400000e+01	9.088853e+00	-4.196030e-01
1.275908757769357e-06	0.000000e+00	2.400000e+01	9.088854e+00	-4.195834e-01
1.279097216505976e-06	0.000000e+00	2.400000e+01	9.088858e+00	-4.195443e-01
1.280868486083168e-06	0.000000e+00	2.400000e+01	9.088860e+00	-4.195225e-01
1.282568424297017e-06	0.000000e+00	2.400000e+01	9.088861e+00	-4.195016e-01
