Freq.	-V(y)/V(ctrl)
1.00000000000000e+00	(5.06429019057420e+01dB,-6.41666161487011e+01°)
1.25892541179417e+00	(4.88449756036588e+01dB,-6.56649343702076e+01°)
1.58489319246111e+00	(4.70198678930063e+01dB,-6.60367161443801e+01°)
1.99526231496888e+00	(4.52000500964903e+01dB,-6.52810520386573e+01°)
2.51188643150958e+00	(4.34185215628555e+01dB,-6.33993203493342e+01°)
3.16227766016838e+00	(4.17116640072993e+01dB,-6.04067547163378e+01°)
3.98107170553497e+00	(4.01203863201641e+01dB,-5.63597732180798e+01°)
5.01187233627272e+00	(3.86878610289614e+01dB,-5.13915759221872e+01°)
6.30957344480194e+00	(3.74527960373322e+01dB,-4.57379743230090e+01°)
7.94328234724282e+00	(3.64397529710149e+01dB,-3.97285729354022e+01°)
1.00000000000000e+01	(3.56514494863404e+01dB,-3.37315323810316e+01°)
1.25892541179417e+01	(3.50682988049905e+01dB,-2.80735086313453e+01°)
1.58489319246111e+01	(3.46556952958373e+01dB,-2.29779876191925e+01°)
1.99526231496888e+01	(3.43743073296923e+01dB,-1.85488478677417e+01°)
2.51188643150958e+01	(3.41881686301847e+01dB,-1.47919932126806e+01°)
3.16227766016838e+01	(3.40686096808980e+01dB,-1.16512798534326e+01°)
3.98107170553498e+01	(3.39949059348696e+01dB,-9.04042069336354e+00°)
5.01187233627273e+01	(3.39533170853977e+01dB,-6.86427858790444e+00°)
6.30957344480194e+01	(3.39357762029625e+01dB,-5.03038311695042e+00°)
7.94328234724282e+01	(3.39388895234968e+01dB,-3.45382669664606e+00°)
1.00000000000000e+02	(3.39635381926506e+01dB,-2.05847653271315e+00°)
1.25892541179417e+02	(3.40152540046999e+01dB,-7.76632931980699e-01°)
1.58489319246112e+02	(3.41056093115982e+01dB,4.51270657382673e-01°)
1.99526231496888e+02	(3.42551078035046e+01dB,1.67524664291166e+00°)
2.51188643150958e+02	(3.44986058532241e+01dB,2.92977754655079e+00°)
3.16227766016838e+02	(3.48955505397992e+01dB,4.21681104951815e+00°)
3.98107170553498e+02	(3.55506558851361e+01dB,5.45989518716815e+00°)
5.01187233627273e+02	(3.66611656052506e+01dB,6.36909488840851e+00°)
6.30957344480194e+02	(3.86481288516420e+01dB,5.93962004792002e+00°)
7.94328234724283e+02	(4.26372246225760e+01dB,-5.26664521194423e-01°)
1.00000000000000e+03	(4.98974459081791e+01dB,-6.01876051317216e+01°)
1.25892541179417e+03	(4.02903629168119e+01dB,-1.27975104319952e+02°)
1.58489319246112e+03	(3.32698685860086e+01dB,-1.35127984300818e+02°)
1.99526231496888e+03	(2.84686352894832e+01dB,-1.35629193300313e+02°)
2.51188643150959e+03	(2.46683341686916e+01dB,-1.35229815210257e+02°)
3.16227766016839e+03	(2.13893036972079e+01dB,-1.35392726840889e+02°)
3.98107170553498e+03	(1.83695222788049e+01dB,-1.36666656812351e+02°)
5.01187233627273e+03	(1.54349087957254e+01dB,-1.39201157972888e+02°)
6.30957344480195e+03	(1.24616982178380e+01dB,-1.42888026135435e+02°)
7.94328234724283e+03	(9.36687053430626e+00dB,-1.47440406154484e+02°)
1.00000000000000e+04	(6.10655563803066e+00dB,-1.52480940824422e+02°)
1.25892541179417e+04	(2.67215403155547e+00dB,-1.57643646838865e+02°)
1.58489319246112e+04	(-9.19557294536229e-01dB,-1.62657420871211e+02°)
1.99526231496888e+04	(-4.63945512107702e+00dB,-1.67381878804375e+02°)
2.51188643150959e+04	(-8.45713061726832e+00dB,-1.71797307834428e+02°)
3.16227766016839e+04	(-1.23473928336626e+01dB,-1.75972363653657e+02°)
3.98107170553498e+04	(-1.62927901178503e+01dB,1.79968576273901e+02°)
5.01187233627274e+04	(-2.02839794297601e+01dB,1.75868712520412e+02°)
6.30957344480195e+04	(-2.43194996702793e+01dB,1.71552629952826e+02°)
7.94328234724284e+04	(-2.84057915962865e+01dB,1.66834546346313e+02°)
1.00000000000000e+05	(-3.25576540830780e+01dB,1.61525679813533e+02°)
1.25892541179417e+05	(-3.67987089737258e+01dB,1.55444344261120e+02°)
1.58489319246112e+05	(-4.11607062608897e+01dB,1.48428647991608e+02°)
1.99526231496889e+05	(-4.56797107671704e+01dB,1.40342325536173e+02°)
2.51188643150959e+05	(-5.03868787453265e+01dB,1.31047479453348e+02°)
3.16227766016839e+05	(-5.52917329868174e+01dB,1.20301255613862e+02°)
3.98107170553499e+05	(-6.03529476422892e+01dB,1.07543986901593e+02°)
5.01187233627274e+05	(-6.54163711400781e+01dB,9.16628286393959e+01°)
6.30957344480195e+05	(-7.00886094407661e+01dB,7.13004786801463e+01°)
7.94328234724284e+05	(-7.36989778594886e+01dB,4.70321505068232e+01°)
1.00000000000000e+06	(-7.58742258096270e+01dB,2.34102454027662e+01°)
