Freq.	-V(y)/V(ctrl)
1.00000000000000e+00	(5.02827024199075e+01dB,-6.41796747990769e+01°)
1.25892541179417e+00	(4.84847755679096e+01dB,-6.56813742455556e+01°)
1.58489319246111e+00	(4.66596669856745e+01dB,-6.60574127374914e+01°)
1.99526231496888e+00	(4.48398478077712e+01dB,-6.53071075374339e+01°)
2.51188643150958e+00	(4.30583170847623e+01dB,-6.34321223417089e+01°)
3.16227766016838e+00	(4.13514560592440e+01dB,-6.04480501030286e+01°)
3.98107170553497e+00	(3.97601728725075e+01dB,-5.64117612786834e+01°)
5.01187233627272e+00	(3.83276388648278e+01dB,-5.14570255091390e+01°)
6.30957344480194e+00	(3.70925600580248e+01dB,-4.58203714613324e+01°)
7.94328234724282e+00	(3.60794950949087e+01dB,-3.98323067621017e+01°)
1.00000000000000e+01	(3.52911569030753e+01dB,-3.38621294729874e+01°)
1.25892541179417e+01	(3.47079512068711e+01dB,-2.82379284937645e+01°)
1.58489319246111e+01	(3.42952604856691e+01dB,-2.31849956557961e+01°)
1.99526231496888e+01	(3.40137342490442e+01dB,-1.88094868635018e+01°)
2.51188643150958e+01	(3.38273762832028e+01dB,-1.51201807720351e+01°)
3.16227766016838e+01	(3.37074695124889e+01dB,-1.20645682768513e+01°)
3.98107170553498e+01	(3.36332137326249e+01dB,-9.56096909789986e+00°)
5.01187233627273e+01	(3.35907480198430e+01dB,-7.52010776203297e+00°)
6.30957344480194e+01	(3.35718124904436e+01dB,-5.85701756427483e+00°)
7.94328234724282e+01	(3.35727030353359e+01dB,-4.49648726720911e+00°)
1.00000000000000e+02	(3.35937973905765e+01dB,-3.37509474260013e+00°)
1.25892541179417e+02	(3.36397998542999e+01dB,-2.44216436062731e+00°)
1.58489319246112e+02	(3.37208941825075e+01dB,-1.66165684078116e+00°)
1.99526231496888e+02	(3.38551786377912e+01dB,-1.01753922803865e+00°)
2.51188643150958e+02	(3.40731362459679e+01dB,-5.27396391032681e-01°)
3.16227766016838e+02	(3.44256641686255e+01dB,-2.75333522580938e-01°)
3.98107170553498e+02	(3.49988587254257e+01dB,-4.93748345292551e-01°)
5.01187233627273e+02	(3.59423759730518e+01dB,-1.78665773513086e+00°)
6.30957344480194e+02	(3.75220437334038e+01dB,-5.85038379198734e+00°)
7.94328234724283e+02	(4.01269978316967e+01dB,-1.83705268886200e+01°)
1.00000000000000e+03	(4.25307194709108e+01dB,-5.73490720690360e+01°)
1.25892541179417e+03	(3.84510241923503e+01dB,-1.04273322990055e+02°)
1.58489319246112e+03	(3.28007951280732e+01dB,-1.20893048608844e+02°)
1.99526231496888e+03	(2.82931019506229e+01dB,-1.26213831494496e+02°)
2.51188643150959e+03	(2.45873325245773e+01dB,-1.28511069871871e+02°)
3.16227766016839e+03	(2.13471548693156e+01dB,-1.30386250661910e+02°)
3.98107170553498e+03	(1.83459438960785e+01dB,-1.32841456136902e+02°)
5.01187233627273e+03	(1.54211152088749e+01dB,-1.36234605656220e+02°)
6.30957344480195e+03	(1.24533998391932e+01dB,-1.40566437813577e+02°)
7.94328234724283e+03	(9.36178954887132e+00dB,-1.45613387891096e+02°)
1.00000000000000e+04	(6.10340991139521e+00dB,-1.51038136756528e+02°)
1.25892541179417e+04	(2.67019266744495e+00dB,-1.56501785089674e+02°)
1.58489319246112e+04	(-9.20785889155191e-01dB,-1.61752500592770e+02°)
1.99526231496888e+04	(-4.64022736269179e+00dB,-1.66664120196441e+02°)
2.51188643150959e+04	(-8.45761773893404e+00dB,-1.71227694332096e+02°)
3.16227766016839e+04	(-1.23477018886029e+01dB,-1.75520164745546e+02°)
3.98107170553498e+04	(-1.62929886793037e+01dB,-1.79672359839269e+02°)
5.01187233627274e+04	(-2.02841108061074e+01dB,1.76153862008829e+02°)
6.30957344480195e+04	(-2.43195925019366e+01dB,1.71779099679608e+02°)
7.94328234724284e+04	(-2.84058661345017e+01dB,1.67014420811501e+02°)
1.00000000000000e+05	(-3.25577265941273e+01dB,1.61668548861388e+02°)
1.25892541179417e+05	(-3.67987952475631e+01dB,1.55557818941340e+02°)
1.58489319246112e+05	(-4.11608249720445e+01dB,1.48518766500863e+02°)
1.99526231496889e+05	(-4.56798873378329e+01dB,1.40413870104541e+02°)
2.51188643150959e+05	(-5.03871502433021e+01dB,1.31104215524931e+02°)
3.16227766016839e+05	(-5.52921538771958e+01dB,1.20346089383240e+02°)
3.98107170553499e+05	(-6.03535923076200e+01dB,1.07579008437571e+02°)
5.01187233627274e+05	(-6.54173122343303e+01dB,9.16891868315959e+01°)
6.30957344480195e+05	(-7.00898115019816e+01dB,7.13182958580717e+01°)
7.94328234724284e+05	(-7.37001370058971e+01dB,4.70417404806839e+01°)
1.00000000000000e+06	(-7.58750050609293e+01dB,2.34142066360309e+01°)
