Freq.	-V(y)/V(x)
1.00000000000000e+00	(1.29091306440835e+02dB,-3.32291920397829e+00°)
1.25892541179417e+00	(1.29082811563774e+02dB,-4.18058178727467e+00°)
1.58489319246111e+00	(1.29069382054781e+02dB,-5.25761873320022e+00°)
1.99526231496888e+00	(1.29048182528210e+02dB,-6.60818338986307e+00°)
2.51188643150958e+00	(1.29014794330749e+02dB,-8.29788977421756e+00°)
3.16227766016838e+00	(1.28962398444541e+02dB,-1.04043871144634e+01°)
3.98107170553497e+00	(1.28880631650535e+02dB,-1.30160171957193e+01°)
5.01187233627272e+00	(1.28754116904030e+02dB,-1.62266046306441e+01°)
6.30957344480194e+00	(1.28560870177465e+02dB,-2.01235102580394e+01°)
7.94328234724282e+00	(1.28271209411404e+02dB,-2.47658838972854e+01°)
1.00000000000000e+01	(1.27848419326252e+02dB,-3.01525754107193e+01°)
1.25892541179417e+01	(1.27252818842081e+02dB,-3.61869044466348e+01°)
1.58489319246111e+01	(1.26449983836976e+02dB,-4.26572535556265e+01°)
1.99526231496888e+01	(1.25420947104987e+02dB,-4.92570457944293e+01°)
2.51188643150958e+01	(1.24169039814009e+02dB,-5.56496136720662e+01°)
3.16227766016838e+01	(1.22718807734712e+02dB,-6.15493649143322e+01°)
3.98107170553498e+01	(1.21107828900606e+02dB,-6.67762204126904e+01°)
5.01187233627273e+01	(1.19376780455802e+02dB,-7.12635042680688e+01°)
6.30957344480194e+01	(1.17562505552678e+02dB,-7.50320779215159e+01°)
7.94328234724282e+01	(1.15695380337565e+02dB,-7.81547910024162e+01°)
1.00000000000000e+02	(1.13799892144244e+02dB,-8.07271838879178e+01°)
1.25892541179417e+02	(1.11896971222015e+02dB,-8.28491156637323e+01°)
1.58489319246112e+02	(1.10007275959881e+02dB,-8.46158933056194e+01°)
1.99526231496888e+02	(1.08155471631003e+02dB,-8.61161720761921e+01°)
2.51188643150958e+02	(1.06376445974062e+02dB,-8.74350228148307e+01°)
3.16227766016838e+02	(1.04725889557835e+02dB,-8.86631653493084e+01°)
3.98107170553498e+02	(1.03301408991784e+02dB,-8.99194704866958e+01°)
5.01187233627273e+02	(1.02292556241352e+02dB,-9.14154116294449e+01°)
6.30957344480194e+02	(1.02130056483799e+02dB,-9.37038153189454e+01°)
7.94328234724283e+02	(1.04141377825864e+02dB,-9.93236723912049e+01°)
1.00000000000000e+03	(1.14770335843772e+02dB,-1.69934511488102e+02°)
1.25892541179417e+03	(9.66717239778370e+01dB,1.02006119474108e+02°)
1.58489319246112e+03	(8.64186135166092e+01dB,9.60502979954984e+01°)
1.99526231496888e+03	(7.85040332586377e+01dB,9.39412444945472e+01°)
2.51188643150959e+03	(7.14799216963976e+01dB,9.28156031372257e+01°)
3.16227766016839e+03	(6.48902178217097e+01dB,9.20983970885846e+01°)
3.98107170553498e+03	(5.85375541386914e+01dB,9.15962865542378e+01°)
5.01187233627273e+03	(5.23221243054131e+01dB,9.12245262696165e+01°)
6.30957344480195e+03	(4.61888725915864e+01dB,9.09389409560058e+01°)
7.94328234724283e+03	(4.01058263170806e+01dB,9.07133559797768e+01°)
1.00000000000000e+04	(3.40538276926489e+01dB,9.05306186215100e+01°)
1.25892541179417e+04	(2.80211732555340e+01dB,9.03785273323304e+01°)
1.58489319246112e+04	(2.20006263181147e+01dB,9.02477768414061e+01°)
1.99526231496888e+04	(1.59876775541759e+01dB,9.01308097986827e+01°)
2.51188643150959e+04	(9.97950257768581e+00dB,9.00211025488485e+01°)
3.16227766016839e+04	(3.97432518024576e+00dB,8.99126662182376e+01°)
3.98107170553498e+04	(-2.02897674583581e+00dB,8.97996534039630e+01°)
5.01187233627274e+04	(-8.03111759134129e+00dB,8.96760101458436e+01°)
6.30957344480195e+04	(-1.40325597557340e+01dB,8.95351357050945e+01°)
7.94328234724284e+04	(-2.00336137278942e+01dB,8.93695229665356e+01°)
1.00000000000000e+05	(-2.60345043748909e+01dB,8.91703563005562e+01°)
1.25892541179417e+05	(-3.20354170834271e+01dB,8.89270445124520e+01°)
1.58489319246112e+05	(-3.80365315334332e+01dB,8.86266659461466e+01°)
1.99526231496889e+05	(-4.40380447145001e+01dB,8.82533030851235e+01°)
2.51188643150959e+05	(-5.00401738108220e+01dB,8.77872499769768e+01°)
3.16227766016839e+05	(-5.60431035459368e+01dB,8.72041012550867e+01°)
3.98107170553499e+05	(-6.20467762716459e+01dB,8.64738175324618e+01°)
5.01187233627274e+05	(-6.80502535931619e+01dB,8.55601330801251e+01°)
6.30957344480195e+05	(-7.40499508543142e+01dB,8.44215051230132e+01°)
7.94328234724284e+05	(-8.00349948698403e+01dB,8.30173127190457e+01°)
1.00000000000000e+06	(-8.59755091621467e+01dB,8.13302099641940e+01°)
