Freq.	-V(y)/V(x)
1.00000000000000e+00	(1.28790387187990e+02dB,-3.33672174907292e+00°)
1.25892541179417e+00	(1.28781891956265e+02dB,-4.19795816766069e+00°)
1.58489319246111e+00	(1.28768461895896e+02dB,-5.27949431773132e+00°)
1.99526231496888e+00	(1.28747261496013e+02dB,-6.63572315486170e+00°)
2.51188643150958e+00	(1.28713871920209e+02dB,-8.33256036112948e+00°)
3.16227766016838e+00	(1.28661473848835e+02dB,-1.04480349500478e+01°)
3.98107170553497e+00	(1.28579703577570e+02dB,-1.30709668483775e+01°)
5.01187233627272e+00	(1.28453183336681e+02dB,-1.62957827424679e+01°)
6.30957344480194e+00	(1.28259927900341e+02dB,-2.02106015301272e+01°)
7.94328234724282e+00	(1.27970253309935e+02dB,-2.48755276262209e+01°)
1.00000000000000e+01	(1.27547441329795e+02dB,-3.02906133701920e+01°)
1.25892541179417e+01	(1.26951806116498e+02dB,-3.63606931766850e+01°)
1.58489319246111e+01	(1.26148916072783e+02dB,-4.28760591365057e+01°)
1.99526231496888e+01	(1.25119792065948e+02dB,-4.95325426073898e+01°)
2.51188643150958e+01	(1.23867746380694e+02dB,-5.59965173999732e+01°)
3.16227766016838e+01	(1.22417294736388e+02dB,-6.19862380360830e+01°)
3.98107170553498e+01	(1.20805967371936e+02dB,-6.73265050672209e+01°)
5.01187233627273e+01	(1.19074365172524e+02dB,-7.19568589537571e+01°)
6.30957344480194e+01	(1.17259209165996e+02dB,-7.59061340745810e+01°)
7.94328234724282e+01	(1.15390678751231e+02dB,-7.92575133446081e+01°)
1.00000000000000e+02	(1.13492941276162e+02dB,-8.21201440581933e+01°)
1.25892541179417e+02	(1.11586398862180e+02dB,-8.46122344709778e+01°)
1.58489319246112e+02	(1.09690818094306e+02dB,-8.68547062661644e+01°)
1.99526231496888e+02	(1.07829304625576e+02dB,-8.89737490841599e+01°)
2.51188643150958e+02	(1.06033869979795e+02dB,-9.11131449573877e+01°)
3.16227766016838e+02	(1.04354462420020e+02dB,-9.34635527585721e+01°)
3.98107170553498e+02	(1.02875791139883e+02dB,-9.63332412105729e+01°)
5.01187233627273e+02	(1.01752833761912e+02dB,-1.00345824017593e+02°)
6.30957344480194e+02	(1.01293701520586e+02dB,-1.07132721529811e+02°)
7.94328234724283e+02	(1.02112157541182e+02dB,-1.22685572773322e+02°)
1.00000000000000e+03	(1.03138085226600e+02dB,-1.73456078461573e+02°)
1.25892541179417e+03	(9.49373353118206e+01dB,1.28624252968179e+02°)
1.58489319246112e+03	(8.58827783670858e+01dB,1.10661992626061e+02°)
1.99526231496888e+03	(7.82087419855592e+01dB,1.03457614996517e+02°)
2.51188643150959e+03	(7.12644968438811e+01dB,9.95799973523119e+01°)
3.16227766016839e+03	(6.47090276571837e+01dB,9.71328460091205e+01°)
3.98107170553498e+03	(5.83733509162012e+01dB,9.54412777970274e+01°)
5.01187233627273e+03	(5.21671355182079e+01dB,9.42059780121154e+01°)
6.30957344480195e+03	(4.60391683370804e+01dB,9.32720554264204e+01°)
7.94328234724283e+03	(3.99592611015523e+01dB,9.25494034523138e+01°)
1.00000000000000e+04	(3.39091689528900e+01dB,9.19805397585795e+01°)
1.25892541179417e+04	(2.78776887799172e+01dB,9.15260171306643e+01°)
1.58489319246112e+04	(2.18578715631486e+01dB,9.11571555775442e+01°)
1.99526231496888e+04	(1.58453788195210e+01dB,9.08521038555789e+01°)
2.51188643150959e+04	(9.83748983321910e+00dB,9.05935211418711e+01°)
3.16227766016839e+04	(3.83249219527619e+00dB,9.03670913928424e+01°)
3.98107170553498e+04	(-2.17069658079076e+00dB,9.01604844104569e+01°)
5.01187233627274e+04	(-8.17276613451175e+00dB,8.99625623976995e+01°)
6.30957344480195e+04	(-1.41741633407752e+01dB,8.97627191508416e+01°)
7.94328234724284e+04	(-2.01751889150181e+01dB,8.95502822810644e+01°)
1.00000000000000e+05	(-2.61760615292623e+01dB,8.93139300802269e+01°)
1.25892541179417e+05	(-3.21769625568592e+01dB,8.90410847910836e+01°)
1.58489319246112e+05	(-3.81780688697113e+01dB,8.87172488154949e+01°)
1.99526231496889e+05	(-4.41795749877431e+01dB,8.83252538966432e+01°)
2.51188643150959e+05	(-5.01816947819671e+01dB,8.78444014328203e+01°)
3.16227766016839e+05	(-5.61846064780833e+01dB,8.72494992617584e+01°)
3.98107170553499e+05	(-6.21882372673354e+01dB,8.65098884479031e+01°)
5.01187233627274e+05	(-6.81916114714156e+01dB,8.55888294088995e+01°)
6.30957344480195e+05	(-7.41910516950952e+01dB,8.44444630665689e+01°)
7.94328234724284e+05	(-8.01754549155841e+01dB,8.30361087267784e+01°)
1.00000000000000e+06	(-8.61143847193935e+01dB,8.13469553630512e+01°)
