time	V(vo)
0.000000000000000e+00	6.304901e-13
4.999999912258350e-14	9.823430e-13
1.132282967965138e-13	1.580027e-12
2.396848921443743e-13	3.278106e-12
4.891923922872597e-13	8.536406e-12
7.691755850129197e-13	1.734235e-11
1.184248547186724e-12	3.574153e-11
1.769939598319448e-12	7.186768e-11
2.499239123493302e-12	1.322128e-10
3.171852827428126e-12	2.018006e-10
4.517080235297774e-12	3.766307e-10
6.717885356464062e-12	7.515731e-10
9.733440234188911e-12	1.413423e-09
1.430659741485421e-11	2.674572e-09
2.107809287971442e-11	4.991052e-09
2.883797457440549e-11	8.191857e-09
3.851174254248104e-11	1.289400e-08
4.926100151364410e-11	1.896355e-08
6.456048415997973e-11	2.898544e-08
8.611703128007015e-11	4.552343e-08
1.253174363046703e-10	8.137449e-08
2.004727879794678e-10	1.640943e-07
2.807471435548347e-10	2.644838e-07
4.196257921084991e-10	4.491123e-07
5.896048437437652e-10	6.799552e-07
8.622975072811462e-10	1.046099e-06
1.303154863971479e-09	1.619439e-06
2.184869577352143e-09	2.697895e-06
3.026404333662075e-09	3.645957e-06
3.794415573630598e-09	4.435825e-06
4.494664085020644e-09	5.091418e-06
5.438111220159216e-09	5.897298e-06
6.382945080095768e-09	6.633556e-06
7.428547705502435e-09	7.382099e-06
8.593959035678200e-09	8.137005e-06
9.706364375020379e-09	8.784378e-06
1.075044300144765e-08	9.258167e-06
1.222953486201130e-08	9.129671e-06
1.303732746044505e-08	8.806638e-06
1.382123201937445e-08	8.684277e-06
1.439612394428489e-08	8.583957e-06
1.471579754638642e-08	8.495643e-06
1.507272904627626e-08	8.425489e-06
1.551991607721161e-08	8.356928e-06
1.599147106724560e-08	8.277574e-06
1.656586480018090e-08	8.183098e-06
1.735305754124432e-08	8.073532e-06
1.816059051677965e-08	7.971342e-06
1.977565646785032e-08	7.803696e-06
2.163174188762233e-08	7.672534e-06
2.427851095438459e-08	7.583300e-06
2.855757408963977e-08	7.666916e-06
3.300911597524232e-08	8.012390e-06
3.764954752801385e-08	8.620946e-06
4.183355904468680e-08	9.359627e-06
4.740741170086588e-08	1.059858e-05
5.307749046955475e-08	1.212928e-05
5.901566216819144e-08	1.400469e-05
6.519732305609091e-08	1.623159e-05
7.076939167963071e-08	1.846873e-05
7.797518911634174e-08	2.166803e-05
8.534047626796472e-08	2.528461e-05
9.304633535774771e-08	2.943112e-05
9.999949497987613e-08	3.348430e-05
1.087502222939937e-07	3.899990e-05
1.166903295046511e-07	4.440701e-05
1.242287559464205e-07	4.990686e-05
1.334240100108279e-07	5.712359e-05
