time	V(vo)
0.000000000000000e+00	4.535893e-16
4.999999912258350e-14	6.271340e-16
1.132282969919094e-13	8.572108e-16
2.396848927305611e-13	1.352931e-15
4.891923932340041e-13	2.469998e-15
7.691755860688790e-13	3.942927e-15
1.184248548736987e-12	6.552837e-15
1.769939600912656e-12	1.109991e-14
2.499239125795803e-12	1.817246e-14
3.171852830976702e-12	2.607867e-14
4.517080241338499e-12	4.586366e-14
6.717885364451095e-12	8.966889e-14
9.733440247861226e-12	1.729804e-13
1.430659743392370e-11	3.523031e-13
2.107809289914711e-11	7.424499e-13
2.883797460500914e-11	1.388180e-12
3.851174257930288e-11	2.522075e-12
4.926100158478977e-11	4.252751e-12
6.456048430330906e-11	7.655762e-12
8.611703174919680e-11	1.448219e-11
1.253174378010574e-10	3.345409e-11
2.004727889495930e-10	9.470211e-11
2.807471456670503e-10	1.969788e-10
4.196257945969634e-10	4.643521e-10
6.371942829951951e-10	1.113581e-09
9.196442497845274e-10	2.375813e-09
1.360225997583267e-09	5.290379e-09
2.085095763103077e-09	1.259262e-08
2.874546029622910e-09	2.409228e-08
3.631052736133446e-09	3.858143e-08
4.367943214571312e-09	5.595921e-08
5.419623873632438e-09	8.634004e-08
6.379546270589462e-09	1.197977e-07
7.404655429965350e-09	1.615629e-07
8.560873520119758e-09	2.161501e-07
9.692035301515914e-09	2.772277e-07
1.073658143389291e-08	3.403677e-07
1.222719956455951e-08	4.416763e-07
1.299152280703706e-08	4.987327e-07
1.373028179927498e-08	5.571726e-07
1.415371638316210e-08	5.921274e-07
1.437454586720025e-08	6.107788e-07
1.460053383575956e-08	6.301652e-07
1.481201356038935e-08	6.485812e-07
1.504728766067649e-08	6.693808e-07
1.528886048631684e-08	6.910788e-07
1.548477265960875e-08	7.089295e-07
1.568515601975385e-08	7.274230e-07
1.591333307601324e-08	7.487714e-07
1.613080641339404e-08	7.694056e-07
1.639405028680097e-08	7.947577e-07
1.667398042214788e-08	8.221674e-07
1.691449680912499e-08	8.460888e-07
1.719256197779963e-08	8.741720e-07
1.748398282250277e-08	9.040960e-07
1.774680236833182e-08	9.315148e-07
1.807525214310525e-08	9.663560e-07
1.834863509143986e-08	9.958433e-07
1.862010713436571e-08	1.025563e-06
1.891068965499876e-08	1.057858e-06
1.917466988778178e-08	1.087631e-06
1.949808776594373e-08	1.124670e-06
1.981670930899287e-08	1.161766e-06
2.020774561062909e-08	1.208116e-06
2.065106683764153e-08	1.261758e-06
2.117124667844128e-08	1.326185e-06
2.171634403497255e-08	1.395418e-06
2.231811476585815e-08	1.473894e-06
2.308354391516867e-08	1.576812e-06
2.382898271826994e-08	1.680377e-06
2.531986032447247e-08	1.897382e-06
2.776335174038991e-08	2.281508e-06
3.053970780715854e-08	2.760859e-06
3.333432326956897e-08	3.289431e-06
3.586994190943936e-08	3.808995e-06
3.937328973389803e-08	4.589403e-06
4.291797834341572e-08	5.452847e-06
5.000735556245112e-08	7.402296e-06
5.604444689506374e-08	9.296105e-06
6.165800313413381e-08	1.124967e-05
6.880216913661922e-08	1.400388e-05
7.612264816073077e-08	1.713685e-05
8.377766685106144e-08	2.074869e-05
9.068421663651245e-08	2.430119e-05
9.938406284054864e-08	2.917155e-05
1.072765596108922e-07	3.397023e-05
1.147696127390834e-07	3.885967e-05
1.239168634619825e-07	4.526726e-05
1.250925904755699e-07	4.612972e-05
1.274440445027446e-07	4.787050e-05
1.274731437475385e-07	4.789224e-05
1.275313422371262e-07	4.793574e-05
1.275961769286129e-07	4.798422e-05
1.276670351640137e-07	4.803723e-05
1.277342970224871e-07	4.808757e-05
1.277978314812205e-07	4.813515e-05
1.278757199863294e-07	4.819351e-05
1.279466753300798e-07	4.824671e-05
1.280141439424030e-07	4.829732e-05
1.280932010834076e-07	4.835665e-05
1.281669918292008e-07	4.841207e-05
1.282366279362949e-07	4.846439e-05
1.283183920645281e-07	4.852586e-05
1.283945863131627e-07	4.858318e-05
1.284665367527266e-07	4.863734e-05
1.285509974248616e-07	4.870095e-05
1.286295574882000e-07	4.876015e-05
