V2	V(vcc)	V(vo)
0.000000000000000e+00	0.000000e+00	-4.577361e-02
3.000000000000000e-01	3.000000e-01	-3.618506e-02
6.000000000000000e-01	6.000000e-01	-2.659926e-02
8.999999999999999e-01	9.000000e-01	-1.701191e-02
1.200000000000000e+00	1.200000e+00	-7.394621e-03
1.500000000000000e+00	1.500000e+00	1.326167e-03
1.800000000000000e+00	1.800000e+00	1.683814e-03
2.100000000000000e+00	2.100000e+00	1.797560e-03
2.400000000000000e+00	2.400000e+00	1.911304e-03
2.700000000000000e+00	2.700000e+00	2.025048e-03
3.000000000000000e+00	3.000000e+00	2.138793e-03
3.300000000000000e+00	3.300000e+00	2.252537e-03
3.600000000000000e+00	3.600000e+00	2.366261e-03
3.900000000000000e+00	3.900000e+00	2.480019e-03
4.200000000000000e+00	4.200000e+00	2.593760e-03
4.500000000000000e+00	4.500000e+00	2.707501e-03
4.800000000000000e+00	4.800000e+00	2.821243e-03
5.100000000000000e+00	5.100000e+00	2.934984e-03
5.399999999999999e+00	5.400000e+00	9.582342e-01
5.700000000000000e+00	5.700000e+00	4.519883e+00
6.000000000000000e+00	6.000000e+00	4.987266e+00
6.300000000000000e+00	6.300000e+00	4.986104e+00
6.600000000000000e+00	6.600000e+00	4.988108e+00
6.899999999999999e+00	6.900000e+00	4.988637e+00
7.199999999999999e+00	7.200000e+00	4.989086e+00
7.500000000000000e+00	7.500000e+00	4.989501e+00
7.800000000000000e+00	7.800000e+00	4.989907e+00
8.100000000000000e+00	8.100000e+00	4.990294e+00
8.400000000000000e+00	8.400000e+00	4.990683e+00
8.699999999999999e+00	8.700000e+00	4.991066e+00
9.000000000000000e+00	9.000000e+00	4.991451e+00
9.299999999999999e+00	9.300000e+00	4.991821e+00
9.600000000000000e+00	9.600000e+00	4.992187e+00
9.900000000000000e+00	9.900000e+00	4.992548e+00
1.020000000000000e+01	1.020000e+01	4.992905e+00
1.050000000000000e+01	1.050000e+01	4.993258e+00
1.080000000000000e+01	1.080000e+01	4.993608e+00
1.110000000000000e+01	1.110000e+01	4.993955e+00
1.140000000000000e+01	1.140000e+01	4.994299e+00
1.170000000000000e+01	1.170000e+01	4.994640e+00
1.200000000000000e+01	1.200000e+01	4.994979e+00
1.230000000000000e+01	1.230000e+01	4.995316e+00
1.260000000000000e+01	1.260000e+01	4.995650e+00
1.290000000000000e+01	1.290000e+01	4.995982e+00
1.320000000000000e+01	1.320000e+01	4.996312e+00
1.350000000000000e+01	1.350000e+01	4.996641e+00
1.380000000000000e+01	1.380000e+01	4.996968e+00
1.410000000000000e+01	1.410000e+01	4.997293e+00
1.440000000000000e+01	1.440000e+01	4.997617e+00
1.470000000000000e+01	1.470000e+01	4.997940e+00
1.500000000000000e+01	1.500000e+01	4.998260e+00
1.530000000000000e+01	1.530000e+01	4.998580e+00
1.560000000000000e+01	1.560000e+01	4.998893e+00
1.590000000000000e+01	1.590000e+01	4.999217e+00
1.620000000000000e+01	1.620000e+01	4.999534e+00
1.650000000000000e+01	1.650000e+01	4.999849e+00
1.680000000000000e+01	1.680000e+01	5.000164e+00
1.710000000000000e+01	1.710000e+01	5.000477e+00
1.740000000000000e+01	1.740000e+01	5.000790e+00
1.770000000000000e+01	1.770000e+01	5.001102e+00
1.800000000000000e+01	1.800000e+01	5.001413e+00
1.830000000000000e+01	1.830000e+01	5.001724e+00
1.860000000000000e+01	1.860000e+01	5.002034e+00
1.890000000000000e+01	1.890000e+01	5.002343e+00
1.920000000000000e+01	1.920000e+01	5.002651e+00
1.950000000000000e+01	1.950000e+01	5.002953e+00
1.980000000000000e+01	1.980000e+01	5.003266e+00
2.010000000000000e+01	2.010000e+01	5.003572e+00
2.040000000000000e+01	2.040000e+01	5.003879e+00
2.070000000000000e+01	2.070000e+01	5.004184e+00
2.100000000000000e+01	2.100000e+01	5.004489e+00
2.130000000000000e+01	2.130000e+01	5.004794e+00
2.160000000000000e+01	2.160000e+01	5.005097e+00
2.190000000000000e+01	2.190000e+01	5.005401e+00
2.220000000000000e+01	2.220000e+01	5.005704e+00
2.250000000000000e+01	2.250000e+01	5.006007e+00
2.280000000000000e+01	2.280000e+01	5.006310e+00
2.310000000000000e+01	2.310000e+01	5.006611e+00
2.340000000000000e+01	2.340000e+01	5.006913e+00
2.370000000000000e+01	2.370000e+01	5.007214e+00
2.400000000000000e+01	2.400000e+01	5.007515e+00
