Freq.	V(v_ctrl)
1.00000000000000e+01	(6.74393048114300e+01dB,1.79991529689695e+02°)
1.25892541179417e+01	(6.74393028949927e+01dB,1.79989316489700e+02°)
1.58489319246111e+01	(6.74393016823442e+01dB,1.79986534353832e+02°)
1.99526231496888e+01	(6.74393009117694e+01dB,1.79983035123213e+02°)
2.51188643150958e+01	(6.74393004169100e+01dB,1.79978632451056e+02°)
3.16227766016838e+01	(6.74393000909567e+01dB,1.79973091879026e+02°)
3.98107170553497e+01	(6.74392998635714e+01dB,1.79966118351482e+02°)
5.01187233627272e+01	(6.74392996855704e+01dB,1.79957340502704e+02°)
6.30957344480193e+01	(6.74392995187713e+01dB,1.79946290880333e+02°)
7.94328234724282e+01	(6.74392993269457e+01dB,1.79932381051880e+02°)
1.00000000000000e+02	(6.74392990687619e+01dB,1.79914870268648e+02°)
1.25892541179417e+02	(6.74392986885892e+01dB,1.79892826018356e+02°)
1.58489319246111e+02	(6.74392981041817e+01dB,1.79865074365844e+02°)
1.99526231496888e+02	(6.74392971895685e+01dB,1.79830137437519e+02°)
2.51188643150958e+02	(6.74392957471567e+01dB,1.79786154720734e+02°)
3.16227766016838e+02	(6.74392934657368e+01dB,1.79730783987777e+02°)
3.98107170553498e+02	(6.74392898527758e+01dB,1.79661076569830e+02°)
5.01187233627273e+02	(6.74392841285579e+01dB,1.79573320341827e+02°)
6.30957344480194e+02	(6.74392750572862e+01dB,1.79462842062646e+02°)
7.94328234724282e+02	(6.74392606811495e+01dB,1.79323758556639e+02°)
1.00000000000000e+03	(6.74392378974275e+01dB,1.79148663510170e+02°)
1.25892541179417e+03	(6.74392017885634e+01dB,1.78928233252119e+02°)
1.58489319246112e+03	(6.74391445615252e+01dB,1.78650730620887e+02°)
1.99526231496888e+03	(6.74390538672398e+01dB,1.78301380688792e+02°)
2.51188643150958e+03	(6.74389101370091e+01dB,1.77861585481522e+02°)
3.16227766016838e+03	(6.74386823661595e+01dB,1.77307936636522e+02°)
3.98107170553498e+03	(6.74383214391092e+01dB,1.76610974941970e+02°)
5.01187233627273e+03	(6.74377495736455e+01dB,1.75733633728545e+02°)
6.30957344480194e+03	(6.74368436420362e+01dB,1.74629289255629e+02°)
7.94328234724283e+03	(6.74354088771881e+01dB,1.73239326274929e+02°)
1.00000000000000e+04	(6.74331375355020e+01dB,1.71490112969469e+02°)
1.25892541179417e+04	(6.74295442361190e+01dB,1.69289271370311e+02°)
1.58489319246112e+04	(6.74238655911247e+01dB,1.66521137652151e+02°)
1.99526231496888e+04	(6.74149063712513e+01dB,1.63041352523411e+02°)
2.51188643150959e+04	(6.74008085446573e+01dB,1.58670645506675e+02°)
3.16227766016839e+04	(6.73787163594359e+01dB,1.53188149874173e+02°)
3.98107170553498e+04	(6.73443193120689e+01dB,1.46325121512823e+02°)
5.01187233627273e+04	(6.72912967325704e+01dB,1.37760879153434e+02°)
6.30957344480195e+04	(6.72108033734619e+01dB,1.27124205944419e+02°)
7.94328234724283e+04	(6.70913770269410e+01dB,1.14005017419131e+02°)
1.00000000000000e+05	(6.69200104162694e+01dB,9.79813787621993e+01°)
1.25892541179417e+05	(6.66853410753179e+01dB,7.86627986336772e+01°)
1.58489319246112e+05	(6.63832023601154e+01dB,5.57387121146111e+01°)
1.99526231496888e+05	(6.60222998942497e+01dB,2.90035672336805e+01°)
2.51188643150959e+05	(6.56244817695342e+01dB,-1.67899424122540e+00°)
3.16227766016839e+05	(6.52134108697685e+01dB,-3.64958372827088e+01°)
3.98107170553498e+05	(6.47869389913107e+01dB,-7.58796273430876e+01°)
5.01187233627274e+05	(6.42601997781985e+01dB,-1.20716247227331e+02°)
6.30957344480195e+05	(6.33507946655418e+01dB,-1.72241116659248e+02°)
7.94328234724284e+05	(6.14779203372252e+01dB,1.29186450834444e+02°)
1.00000000000000e+06	(5.79320393960377e+01dB,6.54045119793995e+01°)
1.25892541179417e+06	(5.18669465563345e+01dB,8.51199483492694e-01°)
1.58489319246112e+06	(4.30835007988854e+01dB,-5.29507985870919e+01°)
1.99526231496889e+06	(3.31543188067399e+01dB,-8.97017067936727e+01°)
2.51188643150959e+06	(2.31579211568004e+01dB,-1.13602783525632e+02°)
3.16227766016839e+06	(1.32058743368304e+01dB,-1.29187502107523e+02°)
3.98107170553499e+06	(2.95786674553105e+00dB,-1.38665259109875e+02°)
5.01187233627274e+06	(-8.45552419528861e+00dB,-1.40865799439173e+02°)
6.30957344480195e+06	(-2.32739485842201e+01dB,-1.13350496059272e+02°)
7.94328234724284e+06	(-2.57249336293786e+01dB,-2.50967097108065e+01°)
1.00000000000000e+07	(-2.49157745718117e+01dB,-1.43154333405510e+01°)
