Freq.	V(v_ctrl)
1.00000000000000e+01	(7.02693759458808e+01dB,1.79994447791141e+02°)
1.25892541179417e+01	(7.02693732883498e+01dB,1.79992990404879e+02°)
1.58489319246111e+01	(7.02693716038749e+01dB,1.79991159730181e+02°)
1.99526231496888e+01	(7.02693705286860e+01dB,1.79988858281464e+02°)
2.51188643150958e+01	(7.02693698305975e+01dB,1.79985963495119e+02°)
3.16227766016838e+01	(7.02693693591743e+01dB,1.79982321212738e+02°)
3.98107170553497e+01	(7.02693690125224e+01dB,1.79977737470859e+02°)
5.01187233627272e+01	(7.02693687157830e+01dB,1.79971968168543e+02°)
6.30957344480193e+01	(7.02693684050193e+01dB,1.79964706068653e+02°)
7.94328234724282e+01	(7.02693680130393e+01dB,1.79955564438628e+02°)
1.00000000000000e+02	(7.02693674553084e+01dB,1.79944056453672e+02°)
1.25892541179417e+02	(7.02693666114614e+01dB,1.79929569272011e+02°)
1.58489319246111e+02	(7.02693652993224e+01dB,1.79911331399453e+02°)
1.99526231496888e+02	(7.02693632355763e+01dB,1.79888371605118e+02°)
2.51188643150958e+02	(7.02693599749042e+01dB,1.79859467200707e+02°)
3.16227766016838e+02	(7.02693548133564e+01dB,1.79823078930187e+02°)
3.98107170553497e+02	(7.02693466369195e+01dB,1.79777269003281e+02°)
5.01187233627273e+02	(7.02693336807129e+01dB,1.79719597910179e+02°)
6.30957344480194e+02	(7.02693131479763e+01dB,1.79646994525893e+02°)
7.94328234724282e+02	(7.02692806070739e+01dB,1.79555592597311e+02°)
1.00000000000000e+03	(7.02692290342726e+01dB,1.79440524921671e+02°)
1.25892541179417e+03	(7.02691472980826e+01dB,1.79295664290511e+02°)
1.58489319246111e+03	(7.02690177571336e+01dB,1.79113297474156e+02°)
1.99526231496888e+03	(7.02688124542689e+01dB,1.78883715023339e+02°)
2.51188643150958e+03	(7.02684870844340e+01dB,1.78594695321802e+02°)
3.16227766016838e+03	(7.02679714418449e+01dB,1.78230855966562e+02°)
3.98107170553498e+03	(7.02671542873541e+01dB,1.77772839038171e+02°)
5.01187233627273e+03	(7.02658593965286e+01dB,1.77196289071568e+02°)
6.30957344480194e+03	(7.02638076640331e+01dB,1.76470573676023e+02°)
7.94328234724283e+03	(7.02605572199134e+01dB,1.75557187370546e+02°)
1.00000000000000e+04	(7.02554089564240e+01dB,1.74407770885447e+02°)
1.25892541179417e+04	(7.02472578900185e+01dB,1.72961674553538e+02°)
1.58489319246112e+04	(7.02343603022141e+01dB,1.71143003072589e+02°)
1.99526231496888e+04	(7.02139714321484e+01dB,1.68857114890458e+02°)
2.51188643150958e+04	(7.01817878611824e+01dB,1.65986640740119e+02°)
3.16227766016839e+04	(7.01311041632543e+01dB,1.62387280398414e+02°)
3.98107170553498e+04	(7.00515728273217e+01dB,1.57884005185324e+02°)
5.01187233627273e+04	(6.99274628168500e+01dB,1.52268905788584e+02°)
6.30957344480195e+04	(6.97353954794343e+01dB,1.45302740099569e+02°)
7.94328234724283e+04	(6.94417756588056e+01dB,1.36722795896821e+02°)
1.00000000000000e+05	(6.90005770017553e+01dB,1.26258550204419e+02°)
1.25892541179417e+05	(6.83525740579212e+01dB,1.13651045255331e+02°)
1.58489319246112e+05	(6.74267063749679e+01dB,9.86596355086157e+01°)
1.99526231496888e+05	(6.61416251231907e+01dB,8.10240907979005e+01°)
2.51188643150959e+05	(6.44000278771586e+01dB,6.03397406877337e+01°)
3.16227766016839e+05	(6.20609251074319e+01dB,3.57839411432656e+01°)
3.98107170553498e+05	(5.88614346928287e+01dB,5.48043916439175e+00°)
5.01187233627273e+05	(5.42376655592371e+01dB,-3.56563426665587e+01°)
6.30957344480195e+05	(4.77410860643934e+01dB,-1.06709256793171e+02°)
7.94328234724283e+05	(4.69366341734512e+01dB,1.43207899914770e+02°)
1.00000000000000e+06	(4.85445780295143e+01dB,6.73685625537156e+01°)
1.25892541179417e+06	(4.61798198375898e+01dB,5.45718758495308e+00°)
1.58489319246112e+06	(4.02240329719568e+01dB,-4.38563483697917e+01°)
1.99526231496888e+06	(3.26346712544548e+01dB,-7.76137070386104e+01°)
2.51188643150959e+06	(2.46433942069747e+01dB,-1.00890623615897e+02°)
3.16227766016839e+06	(1.64932471826498e+01dB,-1.18156754786135e+02°)
3.98107170553498e+06	(8.10568507100442e+00dB,-1.31645431017694e+02°)
5.01187233627274e+06	(-7.22321213843370e-01dB,-1.42311022812554e+02°)
6.30957344480195e+06	(-1.04238859390018e+01dB,-1.50172490257239e+02°)
7.94328234724284e+06	(-2.22974518605323e+01dB,-1.52329756952126e+02°)
1.00000000000000e+07	(-4.01216532833251e+01dB,-8.77421896805086e+01°)
