Freq.	V(v_ctrl)
1.00000000000000e+01	(6.71206729735343e+01dB,1.64567655418991e+02°)
1.25892541179417e+01	(6.69445961197994e+01dB,1.60835699560569e+02°)
1.58489319246111e+01	(6.66793815516926e+01dB,1.56368693129103e+02°)
1.99526231496888e+01	(6.62896455014635e+01dB,1.51151366474313e+02°)
2.51188643150958e+01	(6.57357354299242e+01dB,1.45256669601980e+02°)
3.16227766016838e+01	(6.49810637347721e+01dB,1.38870910238286e+02°)
3.98107170553497e+01	(6.40022274986831e+01dB,1.32284188196760e+02°)
5.01187233627272e+01	(6.27970874240710e+01dB,1.25834340594658e+02°)
6.30957344480193e+01	(6.13855669485579e+01dB,1.19825611718349e+02°)
7.94328234724282e+01	(5.98026018297613e+01dB,1.14465268215289e+02°)
1.00000000000000e+02	(5.80879534105707e+01dB,1.09845511635123e+02°)
1.25892541179417e+02	(5.62781490987893e+01dB,1.05963988289304e+02°)
1.58489319246111e+02	(5.44025865716026e+01dB,1.02759158739280e+02°)
1.99526231496888e+02	(5.24829759522889e+01dB,1.00142003545049e+02°)
2.51188643150958e+02	(5.05344739600712e+01dB,9.80172825059018e+01°)
3.16227766016838e+02	(4.85672828480469e+01dB,9.62950726857896e+01°)
3.98107170553498e+02	(4.65881102121992e+01dB,9.48956711614221e+01°)
5.01187233627273e+02	(4.46012999407009e+01dB,9.37506958923159e+01°)
6.30957344480194e+02	(4.26096379458430e+01dB,9.28022900017779e+01°)
7.94328234724282e+02	(4.06148994887225e+01dB,9.20015224792469e+01°)
1.00000000000000e+03	(3.86182104767012e+01dB,9.13065432453872e+01°)
1.25892541179417e+03	(3.66202816761627e+01dB,9.06807417762046e+01°)
1.58489319246112e+03	(3.46215585971909e+01dB,9.00909937211017e+01°)
1.99526231496888e+03	(3.26223162450670e+01dB,8.95059964421433e+01°)
2.51188643150958e+03	(3.06227179185210e+01dB,8.88946532485618e+01°)
3.16227766016838e+03	(2.86228502396415e+01dB,8.82244453876344e+01°)
3.98107170553498e+03	(2.66227417796907e+01dB,8.74597188940444e+01°)
5.01187233627273e+03	(2.46223692349430e+01dB,8.65598042569444e+01°)
6.30957344480194e+03	(2.26216524939420e+01dB,8.54768778593152e+01°)
7.94328234724283e+03	(2.06204376200541e+01dB,8.41534647555955e+01°)
1.00000000000000e+04	(1.86184643238941e+01dB,8.25194741931301e+01°)
1.25892541179417e+04	(1.66153115349148e+01dB,8.04886571353881e+01°)
1.58489319246112e+04	(1.46103108944234e+01dB,7.79543894245546e+01°)
1.99526231496888e+04	(1.26024133804827e+01dB,7.47847362504931e+01°)
2.51188643150959e+04	(1.05899897799305e+01dB,7.08168833515733e+01°)
3.16227766016839e+04	(8.57054484045334e+00dB,6.58512989038143e+01°)
3.98107170553498e+04	(6.54033724548964e+00dB,5.96465300516273e+01°)
5.01187233627273e+04	(4.49394502717354e+00dB,5.19164804295382e+01°)
6.30957344480195e+04	(2.42394002380423e+00dB,4.23334241489246e+01°)
7.94328234724283e+04	(3.21088520684601e-01dB,3.05415397359960e+01°)
1.00000000000000e+05	(-1.82412788673784e+00dB,1.61859446348639e+01°)
1.25892541179417e+05	(-4.01764789286829e+00dB,-1.04209589968887e+00°)
1.58489319246112e+05	(-6.25529489700635e+00dB,-2.13553637589838e+01°)
1.99526231496888e+05	(-8.51571483650872e+00dB,-4.48456316422698e+01°)
2.51188643150959e+05	(-1.07582062588074e+01dB,-7.15216808064146e+01°)
3.16227766016839e+05	(-1.29313006152256e+01dB,-1.01433697440763e+02°)
3.98107170553498e+05	(-1.49953183542037e+01dB,-1.34877283051496e+02°)
5.01187233627274e+05	(-1.69672657804045e+01dB,-1.72639195157991e+02°)
6.30957344480195e+05	(-1.90163820336913e+01dB,1.43889689235187e+02°)
7.94328234724284e+05	(-2.16087030448630e+01dB,9.33456318025667e+01°)
1.00000000000000e+06	(-2.55433581933596e+01dB,3.59832897910005e+01°)
1.25892541179417e+06	(-3.19082156863896e+01dB,-2.38582910835095e+01°)
1.58489319246112e+06	(-4.09750634240606e+01dB,-7.37783312349807e+01°)
1.99526231496889e+06	(-5.11417393635544e+01dB,-1.07119832004342e+02°)
2.51188643150959e+06	(-6.13170788687125e+01dB,-1.28082869278399e+02°)
3.16227766016839e+06	(-7.13983973475222e+01dB,-1.41230189960744e+02°)
3.98107170553499e+06	(-8.17415127796140e+01dB,-1.48758742642113e+02°)
5.01187233627274e+06	(-9.32311700673591e+01dB,-1.49454227148765e+02°)
6.30957344480195e+06	(-1.08120811338363e+02dB,-1.20817013415042e+02°)
7.94328234724284e+06	(-1.10650800911050e+02dB,-3.17502678722884e+01°)
1.00000000000000e+07	(-1.09940863195993e+02dB,-2.03688265161080e+01°)
