Freq.	V(v_ctrl)
1.00000000000000e+01	(6.98573535617595e+01dB,1.62486758980711e+02°)
1.25892541179417e+01	(6.96333196085162e+01dB,1.58333870570512e+02°)
1.58489319246111e+01	(6.93003513870610e+01dB,1.53428648274626e+02°)
1.99526231496888e+01	(6.88199354097287e+01dB,1.47803035226731e+02°)
2.51188643150958e+01	(6.81530563539382e+01dB,1.41594661202506e+02°)
3.16227766016838e+01	(6.72695575176468e+01dB,1.35054552830266e+02°)
3.98107170553497e+01	(6.61578079657712e+01dB,1.28510067280989e+02°)
5.01187233627272e+01	(6.48289755181159e+01dB,1.22289397359721e+02°)
6.30957344480193e+01	(6.33129180952958e+01dB,1.16645598700061e+02°)
7.94328234724282e+01	(6.16485706830648e+01dB,1.11718515830765e+02°)
1.00000000000000e+02	(5.98745294458560e+01dB,1.07541696914660e+02°)
1.25892541179417e+02	(5.80233959355546e+01dB,1.04074462062868e+02°)
1.58489319246111e+02	(5.61200189621400e+01dB,1.01236629687161e+02°)
1.99526231496888e+02	(5.41821078267263e+01dB,9.89343791197744e+01°)
2.51188643150958e+02	(5.22217431669783e+01dB,9.70755634625893e+01°)
3.16227766016838e+02	(5.02469359318274e+01dB,9.55770455629581e+01°)
3.98107170553497e+02	(4.82629024750014e+01dB,9.43671623852317e+01°)
5.01187233627273e+02	(4.62729997564404e+01dB,9.33856252102885e+01°)
6.30957344480194e+02	(4.42793713616631e+01dB,9.25822598441734e+01°)
7.94328234724282e+02	(4.22833782255998e+01dB,9.19153413501643e+01°)
1.00000000000000e+03	(4.02858794873034e+01dB,9.13498860134677e+01°)
1.25892541179417e+03	(3.82874127538602e+01dB,9.08560490399835e+01°)
1.58489319246111e+03	(3.62883080693145e+01dB,9.04076670422851e+01°)
1.99526231496888e+03	(3.42887583279563e+01dB,8.99809315306132e+01°)
2.51188643150958e+03	(3.22888605831315e+01dB,8.95531554096425e+01°)
3.16227766016838e+03	(3.02886368739002e+01dB,8.91015836995141e+01°)
3.98107170553498e+03	(2.82880389520701e+01dB,8.86021944734316e+01°)
5.01187233627273e+03	(2.62869379040183e+01dB,8.80284324510299e+01°)
6.30957344480194e+03	(2.42850964589946e+01dB,8.73498141624467e+01°)
7.94328234724283e+03	(2.22821181291522e+01dB,8.65303399388108e+01°)
1.00000000000000e+04	(2.02773625241205e+01dB,8.55266455261055e+01°)
1.25892541179417e+04	(1.82698093695977e+01dB,8.42858284312343e+01°)
1.58489319246112e+04	(1.62578438925279e+01dB,8.27428987760733e+01°)
1.99526231496888e+04	(1.42389222409649e+01dB,8.08178463366336e+01°)
2.51188643150958e+04	(1.22090569738090e+01dB,7.84124120625044e+01°)
3.16227766016839e+04	(1.01620412605751e+01dB,7.54068503820213e+01°)
3.98107170553498e+04	(8.08831478135355e+00dB,7.16573357673363e+01°)
5.01187233627273e+04	(5.97338809063213e+00dB,6.69952672007483e+01°)
6.30957344480195e+04	(3.79583626687256e+00dB,6.12305053046458e+01°)
7.94328234724283e+04	(1.52512626304808e+00dB,5.41610600477117e+01°)
1.00000000000000e+05	(-8.79999493646692e-01dB,4.55904592120405e+01°)
1.25892541179417e+05	(-3.47141333424191e+00dB,3.53481864918404e+01°)
1.58489319246112e+05	(-6.30900798732287e+00dB,2.32958758201038e+01°)
1.99526231496888e+05	(-9.45754053283278e+00dB,9.28576235783036e+00°)
2.51188643150959e+05	(-1.29903780789892e+01dB,-6.97261592273304e+00°)
3.16227766016839e+05	(-1.70150625703519e+01dB,-2.62000552372081e+01°)
3.98107170553498e+05	(-2.17483680308312e+01dB,-5.02036228384001e+01°)
5.01187233627273e+05	(-2.76880948665419e+01dB,-8.40780745590168e+01°)
6.30957344480195e+05	(-3.51866137248698e+01dB,-1.47181895031604e+02°)
7.94328234724283e+05	(-3.65994907644088e+01dB,1.10378943801644e+02°)
1.00000000000000e+06	(-3.53116966988720e+01dB,4.05380023811711e+01°)
1.25892541179417e+06	(-3.79256657775017e+01dB,-1.69838268292079e+01°)
1.58489319246112e+06	(-4.41185583962242e+01dB,-6.27027493510737e+01°)
1.99526231496888e+06	(-5.19060620069121e+01dB,-9.33418039810455e+01°)
2.51188643150959e+06	(-6.00464827101050e+01dB,-1.13965973866429e+02°)
3.16227766016839e+06	(-6.83052461680962e+01dB,-1.29057575700448e+02°)
3.98107170553498e+06	(-7.67747188574629e+01dB,-1.40828146584390e+02°)
5.01187233627274e+06	(-8.56715747265011e+01dB,-1.50185525152476e+02°)
6.30957344480195e+06	(-9.54415404610080e+01dB,-1.57088570879483e+02°)
7.94328234724284e+06	(-1.07395283216671e+02dB,-1.58563989718241e+02°)
1.00000000000000e+07	(-1.25323686776483e+02dB,-9.34733235591266e+01°)
