Freq.	V(n005)
1.00000000000000e+02	(8.66484059440071e+01dB,1.79444120313210e+02°)
1.25892541179417e+02	(8.66305130888020e+01dB,1.79162867174289e+02°)
1.58489319246111e+02	(8.66187701318446e+01dB,1.78837435111151e+02°)
1.99526231496888e+02	(8.66106214012994e+01dB,1.78450360673107e+02°)
2.51188643150958e+02	(8.66043001188689e+01dB,1.77981032129811e+02°)
3.16227766016838e+02	(8.65984398524930e+01dB,1.77404591496756e+02°)
3.98107170553497e+02	(8.65917777213187e+01dB,1.76690677185053e+02°)
5.01187233627272e+02	(8.65828836522605e+01dB,1.75801972059012e+02°)
6.30957344480193e+02	(8.65698588799605e+01dB,1.74692558701578e+02°)
7.94328234724282e+02	(8.65499448631289e+01dB,1.73306156170282e+02°)
1.00000000000000e+03	(8.65189747126078e+01dB,1.71574457505612e+02°)
1.25892541179417e+03	(8.64705884911442e+01dB,1.69416064368461e+02°)
1.58489319246111e+03	(8.63951369988096e+01dB,1.66737005066293e+02°)
1.99526231496888e+03	(8.62782499543389e+01dB,1.63434588399144e+02°)
2.51188643150958e+03	(8.60992116633364e+01dB,1.59407280471114e+02°)
3.16227766016838e+03	(8.58296616579231e+01dB,1.54573740610272e+02°)
3.98107170553498e+03	(8.54337394916869e+01dB,1.48902373448140e+02°)
5.01187233627273e+03	(8.48712947950294e+01dB,1.42446158231866e+02°)
6.30957344480194e+03	(8.41052349069366e+01dB,1.35366032452134e+02°)
7.94328234724282e+03	(8.31115122109721e+01dB,1.27918748830738e+02°)
1.00000000000000e+04	(8.18868208715967e+01dB,1.20398162890571e+02°)
1.25892541179417e+04	(8.04487871878222e+01dB,1.13052229399281e+02°)
1.58489319246111e+04	(7.88281955301226e+01dB,1.06019295324363e+02°)
1.99526231496888e+04	(7.70579817581020e+01dB,9.93107380599385e+01°)
2.51188643150958e+04	(7.51641341942414e+01dB,9.28335635239228e+01°)
3.16227766016838e+04	(7.31604389646611e+01dB,8.64310754782708e+01°)
3.98107170553498e+04	(7.10463955501843e+01dB,7.99262781903836e+01°)
5.01187233627273e+04	(6.88072834523853e+01dB,7.31645799013048e+01°)
6.30957344480194e+04	(6.64164239249993e+01dB,6.60571840980023e+01°)
7.94328234724283e+04	(6.38406931692436e+01dB,5.86210607198026e+01°)
1.00000000000000e+05	(6.10498543702938e+01dB,5.09993319514515e+01°)
