Freq.	V(n003)
1.00000000000000e+01	(9.66313581142199e+01dB,1.79738119558554e+02°)
1.25892541179417e+01	(9.66312517173072e+01dB,1.79669958956347e+02°)
1.58489319246111e+01	(9.66311356334499e+01dB,1.79584224000612e+02°)
1.99526231496888e+01	(9.66309848249286e+01dB,1.79476350515139e+02°)
2.51188643150958e+01	(9.66307667344919e+01dB,1.79340596885618e+02°)
3.16227766016838e+01	(9.66304343079318e+01dB,1.79169739805103e+02°)
3.98107170553497e+01	(9.66299158228280e+01dB,1.78954692619283e+02°)
5.01187233627272e+01	(9.66290994716957e+01dB,1.78684027430420e+02°)
6.30957344480193e+01	(9.66278092432702e+01dB,1.78343378498952e+02°)
7.94328234724282e+01	(9.66257672512014e+01dB,1.77914701048734e+02°)
1.00000000000000e+02	(9.66225342169473e+01dB,1.77375357793382e+02°)
1.25892541179417e+02	(9.66174159201338e+01dB,1.76697007806532e+02°)
1.58489319246111e+02	(9.66093168327260e+01dB,1.75844284408589e+02°)
1.99526231496888e+02	(9.65965117885277e+01dB,1.74773281839889e+02°)
2.51188643150958e+02	(9.65762943583433e+01dB,1.73429944565542e+02°)
3.16227766016838e+02	(9.65444434002722e+01dB,1.71748606771140e+02°)
3.98107170553498e+02	(9.64944364268372e+01dB,1.69651222012543e+02°)
5.01187233627273e+02	(9.64163407457178e+01dB,1.67048337909013e+02°)
6.30957344480194e+02	(9.62953718512283e+01dB,1.63843661866914e+02°)
7.94328234724282e+02	(9.61102893839976e+01dB,1.59944996687808e+02°)
1.00000000000000e+03	(9.58321990042061e+01dB,1.55284664790529e+02°)
1.25892541179417e+03	(9.54249439388731e+01dB,1.49850432807578e+02°)
1.58489319246112e+03	(9.48487278110817e+01dB,1.43720825644684e+02°)
1.99526231496888e+03	(9.40679101429299e+01dB,1.37087052046311e+02°)
2.51188643150958e+03	(9.30611753441817e+01dB,1.30237576812483e+02°)
3.16227766016838e+03	(9.18289513893220e+01dB,1.23496700121345e+02°)
3.98107170553498e+03	(9.03931484800054e+01dB,1.17142326244856e+02°)
5.01187233627273e+03	(8.87893700411062e+01dB,1.11346285195568e+02°)
6.30957344480194e+03	(8.70566560348198e+01dB,1.06160663368826e+02°)
7.94328234724283e+03	(8.52297378487572e+01dB,1.01540086710188e+02°)
1.00000000000000e+04	(8.33353897692351e+01dB,9.73759332110771e+01°)
1.25892541179417e+04	(8.13918090069231e+01dB,9.35254094068829e+01°)
1.58489319246112e+04	(7.94093305520058e+01dB,8.98301458270605e+01°)
1.99526231496888e+04	(7.73912549253233e+01dB,8.61260724058855e+01°)
2.51188643150959e+04	(7.53341780373179e+01dB,8.22487529431196e+01°)
3.16227766016839e+04	(7.32276515807579e+01dB,7.80387333184283e+01°)
3.98107170553498e+04	(7.10533511978638e+01dB,7.33514562786994e+01°)
5.01187233627273e+04	(6.87843714846537e+01dB,6.80759030453700e+01°)
6.30957344480195e+04	(6.63858797711385e+01dB,6.21636489229224e+01°)
7.94328234724283e+04	(6.38188244625139e+01dB,5.56628248007792e+01°)
1.00000000000000e+05	(6.10477415759827e+01dB,4.87397229600210e+01°)
1.25892541179417e+05	(5.80510205682870e+01dB,4.16640286000957e+01°)
1.58489319246112e+05	(5.48286137792346e+01dB,3.47480130696005e+01°)
1.99526231496888e+05	(5.14021748504029e+01dB,2.82636233630711e+01°)
2.51188643150959e+05	(4.78075755608083e+01dB,2.23807668769132e+01°)
3.16227766016839e+05	(4.40847877677083e+01dB,1.71512747578622e+01°)
3.98107170553498e+05	(4.02702254998477e+01dB,1.25289419506540e+01°)
5.01187233627274e+05	(3.63931900569761e+01dB,8.40023260763267e+00°)
6.30957344480195e+05	(3.24747392734449e+01dB,4.60634116639435e+00°)
7.94328234724284e+05	(2.85254942956313e+01dB,9.61543601845004e-01°)
1.00000000000000e+06	(2.45448997881499e+01dB,-2.68905013571341e+00°)
1.25892541179417e+06	(2.05373774537853e+01dB,-6.43066314753864e+00°)
1.58489319246112e+06	(1.65196972165539e+01dB,-1.04535451183722e+01°)
1.99526231496889e+06	(1.24886518681675e+01dB,-1.50496769755760e+01°)
2.51188643150959e+06	(8.43147088725880e+00dB,-2.04674003150568e+01°)
3.16227766016839e+06	(4.33323730933771e+00dB,-2.69856649858618e+01°)
3.98107170553499e+06	(1.69376850632266e-01dB,-3.49422529478717e+01°)
5.01187233627274e+06	(-4.10160038784113e+00dB,-4.47316196997374e+01°)
6.30957344480195e+06	(-8.54908265887704e+00dB,-5.68000917417801e+01°)
7.94328234724284e+06	(-1.32951726695949e+01dB,-7.15698078965573e+01°)
1.00000000000000e+07	(-1.85362450008212e+01dB,-8.90966927481152e+01°)
