Freq.	V(n003)
1.00000000000000e+01	(8.65257028203746e+01dB,1.79772762727817e+02°)
1.25892541179417e+01	(8.65256634291546e+01dB,1.79713590563312e+02°)
1.58489319246111e+01	(8.65256174156740e+01dB,1.79639166398940e+02°)
1.99526231496888e+01	(8.65255548505067e+01dB,1.79545527220614e+02°)
2.51188643150958e+01	(8.65254622294155e+01dB,1.79427687087782e+02°)
3.16227766016838e+01	(8.65253195636368e+01dB,1.79279371954929e+02°)
3.98107170553497e+01	(8.65250960600821e+01dB,1.79092686236582e+02°)
5.01187233627272e+01	(8.65247434885163e+01dB,1.78857693696256e+02°)
6.30957344480193e+01	(8.65241857716975e+01dB,1.78561891014614e+02°)
7.94328234724282e+01	(8.65233026041076e+01dB,1.78189547343467e+02°)
1.00000000000000e+02	(8.65219035314258e+01dB,1.77720877352349e+02°)
1.25892541179417e+02	(8.65196870200238e+01dB,1.77131009052720e+02°)
1.58489319246111e+02	(8.65161757829069e+01dB,1.76388702026505e+02°)
1.99526231496888e+02	(8.65106147848573e+01dB,1.75454768820619e+02°)
2.51188643150958e+02	(8.65018108888945e+01dB,1.74280157016940e+02°)
3.16227766016838e+02	(8.64878817898071e+01dB,1.72803671697587e+02°)
3.98107170553498e+02	(8.64658658959293e+01dB,1.70949376818359e+02°)
5.01187233627273e+02	(8.64311231068260e+01dB,1.68623845164677e+02°)
6.30957344480194e+02	(8.63764316349544e+01dB,1.65713692067001e+02°)
7.94328234724282e+02	(8.62906678287948e+01dB,1.62084323278487e+02°)
1.00000000000000e+03	(8.61569726781872e+01dB,1.57581662615721e+02°)
1.25892541179417e+03	(8.59504220306474e+01dB,1.52039819415486e+02°)
1.58489319246112e+03	(8.56355299076215e+01dB,1.45298827586901e+02°)
1.99526231496888e+03	(8.51645154074704e+01dB,1.37236382635768e+02°)
2.51188643150958e+03	(8.44780171407534e+01dB,1.27813309839006e+02°)
3.16227766016838e+03	(8.35101482189654e+01dB,1.17122398635319e+02°)
3.98107170553498e+03	(8.21983592022747e+01dB,1.05418701765893e+02°)
5.01187233627273e+03	(8.04955971373489e+01dB,9.31096137012591e+01°)
6.30957344480194e+03	(7.83803036145695e+01dB,8.07016983834525e+01°)
7.94328234724283e+03	(7.58610028765845e+01dB,6.87213815851705e+01°)
1.00000000000000e+04	(7.29745216858178e+01dB,5.76311501733743e+01°)
1.25892541179417e+04	(6.97781578721718e+01dB,4.77622126234454e+01°)
1.58489319246112e+04	(6.63379570007864e+01dB,3.92845905691854e+01°)
1.99526231496888e+04	(6.27173850953348e+01dB,3.22218984926075e+01°)
2.51188643150959e+04	(5.89701076913325e+01dB,2.64955837717377e+01°)
3.16227766016839e+04	(5.51376488218992e+01dB,2.19745254588322e+01°)
3.98107170553498e+04	(5.12504366747361e+01dB,1.85140340724299e+01°)
5.01187233627273e+04	(4.73303555019169e+01dB,1.59801422384889e+01°)
6.30957344480195e+04	(4.33935748659257e+01dB,1.42617669948225e+01°)
7.94328234724283e+04	(3.94531524760027e+01dB,1.32747392052032e+01°)
1.00000000000000e+05	(3.55213501392095e+01dB,1.29605453230296e+01°)
1.25892541179417e+05	(3.16117721545573e+01dB,1.32807761861761e+01°)
1.58489319246112e+05	(2.77413978136822e+01dB,1.42064334986107e+01°)
1.99526231496888e+05	(2.39323360698170e+01dB,1.56997500179775e+01°)
2.51188643150959e+05	(2.02126344686233e+01dB,1.76859135407252e+01°)
3.16227766016839e+05	(1.66147948331638e+01dB,2.00151135052566e+01°)
3.98107170553498e+05	(1.31703057042975e+01dB,2.24240188060395e+01°)
5.01187233627274e+05	(9.89961131261422e+00dB,2.45180687526008e+01°)
6.30957344480195e+05	(6.80009444486274e+00dB,2.57994353037012e+01°)
7.94328234724284e+05	(3.83772410206698e+00dB,2.57459833745077e+01°)
1.00000000000000e+06	(9.47228939467063e-01dB,2.39138770415506e+01°)
1.25892541179417e+06	(-1.95904691600048e+00dB,2.00203753831657e+01°)
1.58489319246112e+06	(-4.97856531201150e+00dB,1.39795256930260e+01°)
1.99526231496889e+06	(-8.20663576183776e+00dB,5.90369968850988e+00°)
2.51188643150959e+06	(-1.17251931012077e+01dB,-3.92897335889303e+00°)
3.16227766016839e+06	(-1.55972137935396e+01dB,-1.51376449090163e+01°)
3.98107170553499e+06	(-1.98680084633227e+01dB,-2.72912261148383e+01°)
5.01187233627274e+06	(-2.45688404749590e+01dB,-3.99206105261123e+01°)
6.30957344480195e+06	(-2.97151612687328e+01dB,-5.25094698625335e+01°)
7.94328234724284e+06	(-3.53042910658768e+01dB,-6.45306383218396e+01°)
1.00000000000000e+07	(-4.13215035709093e+01dB,-7.54477144314117e+01°)
