Freq.	V(n003)
1.00000000000000e+01	(9.66313281222300e+01dB,1.79595434286804e+02°)
1.25892541179417e+01	(9.66312041877654e+01dB,1.79490330255203e+02°)
1.58489319246111e+01	(9.66310603088841e+01dB,1.79358086315735e+02°)
1.99526231496888e+01	(9.66308654486513e+01dB,1.79191661846666e+02°)
2.51188643150958e+01	(9.66305775421992e+01dB,1.78982197833625e+02°)
3.16227766016838e+01	(9.66301344674514e+01dB,1.78718546926438e+02°)
3.98107170553497e+01	(9.66294406242500e+01dB,1.78386683461626e+02°)
5.01187233627272e+01	(9.66283463675227e+01dB,1.77968963836425e+02°)
6.30957344480193e+01	(9.66266157343345e+01dB,1.77443201474566e+02°)
7.94328234724282e+01	(9.66238758631895e+01dB,1.76781514273585e+02°)
1.00000000000000e+02	(9.66195370550008e+01dB,1.75948897480795e+02°)
1.25892541179417e+02	(9.66126669514922e+01dB,1.74901474308680e+02°)
1.58489319246111e+02	(9.66017932606029e+01dB,1.73584386972501e+02°)
1.99526231496888e+02	(9.65845953329286e+01dB,1.71929325785906e+02°)
2.51188643150958e+02	(9.65574270733844e+01dB,1.69851778031149e+02°)
3.16227766016838e+02	(9.65145882889244e+01dB,1.67248259198424e+02°)
3.98107170553498e+02	(9.64472376052012e+01dB,1.63994142629680e+02°)
5.01187233627273e+02	(9.63418289671596e+01dB,1.59943342438767e+02°)
6.30957344480194e+02	(9.61780003732602e+01dB,1.54932127517134e+02°)
7.94328234724282e+02	(9.59260249869074e+01dB,1.48790673565093e+02°)
1.00000000000000e+03	(9.55443702996368e+01dB,1.41366897253894e+02°)
1.25892541179417e+03	(9.49786440398167e+01dB,1.32565736476570e+02°)
1.58489319246112e+03	(9.41639205219552e+01dB,1.22400414910720e+02°)
1.99526231496888e+03	(9.30321820125385e+01dB,1.11039872672897e+02°)
2.51188643150958e+03	(9.15243994578252e+01dB,9.88265850944590e+01°)
3.16227766016838e+03	(8.96035264420347e+01dB,8.62455171034750e+01°)
3.98107170553498e+03	(8.72633797951804e+01dB,7.38482069353595e+01°)
5.01187233627273e+03	(8.45301566613424e+01dB,6.21560712027337e+01°)
6.30957344480194e+03	(8.14560880720348e+01dB,5.15733302791226e+01°)
7.94328234724283e+03	(7.81074474939945e+01dB,4.23374122131812e+01°)
1.00000000000000e+04	(7.45515584806880e+01dB,3.45198462672177e+01°)
1.25892541179417e+04	(7.08473966968259e+01dB,2.80659825523138e+01°)
1.58489319246112e+04	(6.70415028790787e+01dB,2.28477216585841e+01°)
1.99526231496888e+04	(6.31680635041335e+01dB,1.87086630343665e+01°)
2.51188643150959e+04	(5.92510884375182e+01dB,1.54940646172436e+01°)
3.16227766016839e+04	(5.53071124263061e+01dB,1.30670520767854e+01°)
3.98107170553498e+04	(5.13476494433384e+01dB,1.13155060371244e+01°)
5.01187233627273e+04	(4.73811906633086e+01dB,1.01536344589900e+01°)
6.30957344480195e+04	(4.34148126013533e+01dB,9.52082498377208e+00°)
7.94328234724283e+04	(3.94555605322680e+01dB,9.37901823940279e+00°)
1.00000000000000e+05	(3.55117845869372e+01dB,9.70872576056812e+00°)
1.25892541179417e+05	(3.15945663549009e+01dB,1.05027916554457e+01°)
1.58489319246112e+05	(2.77192612473482e+01dB,1.17559218241675e+01°)
1.99526231496888e+05	(2.39069247654314e+01dB,1.34470270321069e+01°)
2.51188643150959e+05	(2.01849029897490e+01dB,1.55114620485968e+01°)
3.16227766016839e+05	(1.65852005626212e+01dB,1.78034324189630e+01°)
3.98107170553498e+05	(1.31389077317313e+01dB,2.00576097968218e+01°)
5.01187233627274e+05	(9.86608517521791e+00dB,2.18713070585253e+01°)
6.30957344480195e+05	(6.76366720376869e+00dB,2.27320633162471e+01°)
7.94328234724284e+05	(3.79702337424179e+00dB,2.20959831319499e+01°)
1.00000000000000e+06	(9.00042500625237e-01dB,1.94894227928235e+01°)
1.25892541179417e+06	(-2.01613596579898e+00dB,1.45902274332269e+01°)
1.58489319246112e+06	(-5.05083299784949e+00dB,7.26151372518058e+00°)
1.99526231496889e+06	(-8.30223550028563e+00dB,-2.44820844789289e+00°)
2.51188643150959e+06	(-1.18566824652270e+01dB,-1.43397579171373e+01°)
3.16227766016839e+06	(-1.57840017161091e+01dB,-2.81274613163742e+01°)
3.98107170553499e+06	(-2.01400484954840e+01dB,-4.34897454525929e+01°)
5.01187233627274e+06	(-2.49718171325175e+01dB,-6.00740406438907e+01°)
6.30957344480195e+06	(-3.03170294382070e+01dB,-7.74706264292660e+01°)
7.94328234724284e+06	(-3.62018726869001e+01dB,-9.52178747434375e+01°)
1.00000000000000e+07	(-4.26435413521757e+01dB,-1.12759375478292e+02°)
