time	V(vcc)	V(vo)
0.000000000000000e+00	9.500000e+00	4.961557e+00
9.999999960041972e-12	9.500001e+00	4.961559e+00
1.999999992008394e-11	9.500003e+00	4.961560e+00
3.999999984016789e-11	9.500005e+00	4.961562e+00
7.999999968033578e-11	9.500010e+00	4.961567e+00
1.599999993606716e-10	9.500020e+00	4.961577e+00
3.199999987213431e-10	9.500040e+00	4.961597e+00
6.399999974426862e-10	9.500080e+00	4.961637e+00
1.279999994885372e-09	9.500161e+00	4.961717e+00
2.559999989770745e-09	9.500321e+00	4.961877e+00
5.119999979541490e-09	9.500644e+00	4.962198e+00
1.023999995908298e-08	9.501287e+00	4.962848e+00
2.047999991816596e-08	9.502574e+00	4.964191e+00
4.095999983633192e-08	9.505147e+00	4.967069e+00
6.163326713517923e-08	9.507743e+00	4.970212e+00
8.004197715671939e-08	9.510055e+00	4.973170e+00
1.001627642311015e-07	9.512579e+00	4.976521e+00
1.194824094266186e-07	9.515000e+00	4.979804e+00
1.431245424401159e-07	9.517962e+00	4.983846e+00
1.743841866235004e-07	9.521870e+00	4.989110e+00
2.177901076495342e-07	9.527283e+00	4.995993e+00
2.795098249768787e-07	9.534944e+00	5.004195e+00
3.616422534742396e-07	9.545055e+00	5.010555e+00
4.486059730131773e-07	9.555630e+00	5.009972e+00
5.486059730131773e-07	9.567583e+00	5.000939e+00
6.133393728556471e-07	9.575181e+00	4.992707e+00
6.689427433028622e-07	9.581609e+00	4.986552e+00
7.288114062032579e-07	9.588418e+00	4.982499e+00
7.968517866302004e-07	9.596004e+00	4.981612e+00
8.506229615499272e-07	9.601875e+00	4.983257e+00
8.994064067774521e-07	9.607102e+00	4.985856e+00
9.484884252574844e-07	9.612260e+00	4.988897e+00
9.964151574614897e-07	9.617192e+00	4.991764e+00
1.043399158698789e-06	9.621925e+00	4.994061e+00
1.090613351050092e-06	9.626574e+00	4.995531e+00
1.149221312874247e-06	9.632189e+00	4.995878e+00
1.207273030800121e-06	9.637574e+00	4.994524e+00
1.274763581051312e-06	9.643604e+00	4.991174e+00
1.329459350735149e-06	9.648303e+00	4.987606e+00
1.373766811709574e-06	9.651980e+00	4.984622e+00
1.413851576578911e-06	9.655207e+00	4.982161e+00
1.451006427369271e-06	9.658109e+00	4.980259e+00
1.483373750184366e-06	9.660566e+00	4.978974e+00
1.515313977278446e-06	9.662927e+00	4.978071e+00
1.579194431466606e-06	9.667450e+00	4.977243e+00
1.648949761271022e-06	9.672081e+00	4.977458e+00
1.713591594227512e-06	9.676078e+00	4.978164e+00
1.774022126101577e-06	9.679551e+00	4.978782e+00
1.820329657316752e-06	9.682038e+00	4.979000e+00
1.866308222778905e-06	9.684355e+00	4.978863e+00
1.912159812960231e-06	9.686512e+00	4.978316e+00
1.969335102127023e-06	9.688985e+00	4.977062e+00
2.049975041164201e-06	9.692058e+00	4.974443e+00
2.108121990957792e-06	9.693968e+00	4.972178e+00
2.160535065144400e-06	9.695468e+00	4.970100e+00
2.214396168673602e-06	9.696789e+00	4.968107e+00
2.283468828062632e-06	9.698152e+00	4.965940e+00
2.365062810372573e-06	9.699282e+00	4.964015e+00
2.465062810372572e-06	9.699952e+00	4.962385e+00
2.562651486644792e-06	9.699845e+00	4.961133e+00
2.633768826978940e-06	9.699294e+00	4.960166e+00
2.697981103429398e-06	9.698455e+00	4.959116e+00
2.769967472696864e-06	9.697129e+00	4.957687e+00
2.848524420880238e-06	9.695224e+00	4.955846e+00
2.932963585325980e-06	9.692645e+00	4.953644e+00
3.024805964924563e-06	9.689225e+00	4.951167e+00
3.113521055144787e-06	9.685323e+00	4.948852e+00
3.213521055144787e-06	9.680236e+00	4.946459e+00
3.313521055144787e-06	9.674437e+00	4.944324e+00
3.413521055144787e-06	9.667949e+00	4.942398e+00
3.513521055144787e-06	9.660799e+00	4.940601e+00
3.613521055144787e-06	9.653014e+00	4.938863e+00
3.713521055144787e-06	9.644626e+00	4.937142e+00
3.813521055144787e-06	9.635666e+00	4.935431e+00
3.913521055144786e-06	9.626171e+00	4.933749e+00
4.013521055144786e-06	9.616179e+00	4.932127e+00
4.113521055144786e-06	9.605727e+00	4.930598e+00
4.213521055144786e-06	9.594858e+00	4.929192e+00
4.313521055144786e-06	9.583615e+00	4.927931e+00
4.413521055144786e-06	9.572042e+00	4.926828e+00
4.513521055144786e-06	9.560185e+00	4.925891e+00
4.613521055144786e-06	9.548091e+00	4.925125e+00
4.713521055144786e-06	9.535806e+00	4.924532e+00
4.813521055144785e-06	9.523380e+00	4.924116e+00
4.913521055144785e-06	9.510862e+00	4.923879e+00
5.013521055144785e-06	9.498301e+00	4.923823e+00
5.113521055144785e-06	9.485746e+00	4.923954e+00
5.213521055144785e-06	9.473248e+00	4.924274e+00
5.313521055144785e-06	9.460856e+00	4.924787e+00
5.413521055144785e-06	9.448618e+00	4.925494e+00
5.513521055144785e-06	9.436583e+00	4.926394e+00
5.613521055144785e-06	9.424798e+00	4.927485e+00
5.713521055144784e-06	9.413310e+00	4.928761e+00
5.813521055144784e-06	9.402164e+00	4.930211e+00
5.913521055144784e-06	9.391404e+00	4.931819e+00
6.013521055144784e-06	9.381073e+00	4.933566e+00
6.113521055144784e-06	9.371211e+00	4.935425e+00
6.213521055144784e-06	9.361857e+00	4.937367e+00
6.313521055144784e-06	9.353048e+00	4.939359e+00
6.413521055144784e-06	9.344820e+00	4.941364e+00
6.513521055144784e-06	9.337204e+00	4.943352e+00
6.613521055144783e-06	9.330230e+00	4.945297e+00
6.713521055144783e-06	9.323926e+00	4.947183e+00
6.813521055144783e-06	9.318317e+00	4.949010e+00
6.913521055144783e-06	9.313426e+00	4.950792e+00
7.013521055144783e-06	9.309271e+00	4.952556e+00
