rl	V(vo)	I(R31)
5.000000000000000e-01	2.229677e-01	4.459354e-01
6.000000000000000e-01	2.743036e-01	4.571728e-01
7.000000000000000e-01	3.283003e-01	4.690004e-01
7.999999999999999e-01	3.851686e-01	4.814608e-01
8.999999999999999e-01	4.451430e-01	4.946034e-01
9.999999999999999e-01	5.084844e-01	5.084844e-01
1.100000000000000e+00	5.754836e-01	5.231670e-01
1.200000000000000e+00	6.464679e-01	5.387233e-01
1.300000000000000e+00	7.218025e-01	5.552328e-01
1.400000000000000e+00	8.019012e-01	5.727866e-01
1.500000000000000e+00	8.872294e-01	5.914863e-01
1.600000000000000e+00	9.783179e-01	6.114486e-01
1.700000000000000e+00	1.075769e+00	6.328051e-01
1.800000000000000e+00	1.180274e+00	6.557078e-01
1.900000000000001e+00	1.292628e+00	6.803306e-01
2.000000000000000e+00	1.413750e+00	7.068751e-01
2.100000000000001e+00	1.544708e+00	7.355750e-01
2.200000000000001e+00	1.686750e+00	7.667044e-01
2.300000000000001e+00	1.841346e+00	8.005853e-01
2.400000000000001e+00	2.010237e+00	8.375986e-01
2.500000000000001e+00	2.195502e+00	8.782007e-01
2.600000000000001e+00	2.399644e+00	9.229401e-01
2.700000000000001e+00	2.625704e+00	9.724830e-01
2.800000000000001e+00	2.877413e+00	1.027647e+00
2.900000000000001e+00	3.159394e+00	1.089446e+00
3.000000000000001e+00	3.477463e+00	1.159154e+00
3.100000000000001e+00	3.839020e+00	1.238394e+00
3.200000000000002e+00	4.253639e+00	1.329262e+00
3.300000000000002e+00	4.733927e+00	1.434523e+00
3.400000000000002e+00	4.990909e+00	1.467914e+00
3.500000000000002e+00	4.990927e+00	1.425979e+00
3.600000000000002e+00	4.990946e+00	1.386374e+00
3.700000000000002e+00	4.990964e+00	1.348909e+00
3.800000000000002e+00	4.990978e+00	1.313415e+00
3.900000000000002e+00	4.990996e+00	1.279742e+00
4.000000000000000e+00	4.991009e+00	1.247752e+00
