V2	-100*((V(vo)*I(R31))/(V(Vcc)*I(V2)))
5.000000000000000e-01	-6.638836e-08
7.974683544303798e-01	-7.938520e-08
1.094936708860760e+00	-4.014205e-06
1.392405063291139e+00	-3.442826e-06
1.689873417721519e+00	8.750724e-06
1.987341772151899e+00	4.801011e-06
2.284810126582278e+00	3.889565e-06
2.582278481012658e+00	2.624964e-06
2.879746835443038e+00	2.304282e-06
3.177215189873417e+00	2.076603e-06
3.474683544303797e+00	1.896752e-06
3.772151898734177e+00	1.748189e-06
4.069620253164556e+00	1.633566e-06
4.367088607594937e+00	1.560332e-06
4.664556962025316e+00	1.499198e-06
4.962025316455696e+00	1.445996e-06
5.259493670886076e+00	1.399285e-06
5.556962025316455e+00	5.104831e+01
5.854430379746835e+00	5.794886e+01
6.151898734177215e+00	5.808560e+01
6.449367088607595e+00	5.504749e+01
6.746835443037974e+00	5.228138e+01
7.044303797468354e+00	4.975209e+01
7.341772151898733e+00	4.743137e+01
7.639240506329113e+00	4.529479e+01
7.936708860759493e+00	4.332150e+01
8.234177215189874e+00	4.149408e+01
8.531645569620252e+00	3.979709e+01
8.829113924050633e+00	3.821742e+01
9.126582278481012e+00	3.674334e+01
9.424050632911392e+00	3.536495e+01
9.721518987341771e+00	3.407341e+01
1.001898734177215e+01	3.286096e+01
1.031645569620253e+01	3.172072e+01
1.061392405063291e+01	3.064659e+01
1.091139240506329e+01	2.963314e+01
1.120886075949367e+01	2.867548e+01
1.150632911392405e+01	2.776928e+01
1.180379746835443e+01	2.691060e+01
1.210126582278481e+01	2.609592e+01
1.239873417721519e+01	2.532204e+01
1.269620253164557e+01	2.458606e+01
1.299367088607595e+01	2.388537e+01
1.329113924050633e+01	2.321756e+01
1.358860759493671e+01	2.258045e+01
1.388607594936709e+01	2.197204e+01
1.418354430379747e+01	2.139052e+01
1.448101265822785e+01	2.083419e+01
1.477848101265823e+01	2.030152e+01
1.507594936708861e+01	1.979108e+01
1.537341772151899e+01	1.930158e+01
1.567088607594937e+01	1.883179e+01
1.596835443037975e+01	1.838060e+01
1.626582278481013e+01	1.794697e+01
1.656329113924050e+01	1.752994e+01
1.686075949367088e+01	1.712862e+01
1.715822784810127e+01	1.674217e+01
1.745569620253164e+01	1.636982e+01
1.775316455696202e+01	1.601084e+01
1.805063291139241e+01	1.566456e+01
1.834810126582278e+01	1.533035e+01
1.864556962025316e+01	1.500762e+01
1.894303797468354e+01	1.469582e+01
1.924050632911392e+01	1.439442e+01
1.953797468354430e+01	1.410294e+01
1.983544303797468e+01	1.382093e+01
2.013291139240506e+01	1.354795e+01
2.043037974683544e+01	1.328360e+01
2.072784810126582e+01	1.302750e+01
2.102531645569620e+01	1.277929e+01
2.132278481012658e+01	1.253862e+01
2.162025316455696e+01	1.230518e+01
2.191772151898734e+01	1.207867e+01
2.221518987341772e+01	1.185879e+01
2.251265822784810e+01	1.164528e+01
2.281012658227848e+01	1.143789e+01
2.310759493670886e+01	1.123636e+01
2.340506329113924e+01	1.104046e+01
2.370253164556962e+01	1.084998e+01
2.400000000000000e+01	1.066470e+01
