time	I(R20)+I(R21)
0.000000000000000e+00	9.182380e-01
5.000000000000000e-06	9.182380e-01
5.054240000982015e-06	9.182380e-01
5.064612418558914e-06	1.882143e+00
5.069583430947815e-06	1.883563e+00
5.073756859001239e-06	1.901200e+00
5.076431964814442e-06	1.867477e+00
5.077966224588028e-06	1.887642e+00
5.079152678312247e-06	1.883087e+00
5.080436869382031e-06	1.878456e+00
5.081652447974671e-06	1.877777e+00
5.083065950938108e-06	1.877215e+00
5.084546973451695e-06	1.874937e+00
5.086172265722070e-06	1.873297e+00
5.088016323988845e-06	1.870933e+00
5.090066002658089e-06	1.868614e+00
5.092429154501815e-06	1.865378e+00
5.095186036719741e-06	1.861984e+00
5.098684082322141e-06	1.857043e+00
5.099999999999999e-06	1.855451e+00
5.100131591767785e-06	1.855193e+00
5.100394775303357e-06	1.854807e+00
5.100921142374501e-06	1.854106e+00
5.101596290365138e-06	1.853165e+00
5.102946586346411e-06	1.851323e+00
5.105647178308959e-06	1.847582e+00
5.110755849064267e-06	1.840484e+00
5.120973190574884e-06	1.826091e+00
5.135409762927158e-06	1.805613e+00
5.150381999567503e-06	1.784295e+00
5.165341651437294e-06	1.763024e+00
5.185141590030832e-06	1.734892e+00
5.211187885252193e-06	1.698016e+00
5.257118098497020e-06	1.633343e+00
5.315838174993569e-06	1.551642e+00
5.395348291904892e-06	1.443553e+00
5.449394456097749e-06	1.372775e+00
5.516561400423146e-06	1.294067e+00
5.541402850269789e-06	1.269582e+00
5.566203396562823e-06	1.248129e+00
5.592166528434492e-06	1.227936e+00
5.619707168946107e-06	1.208400e+00
5.659850921102440e-06	1.182714e+00
5.725082494174977e-06	1.146544e+00
5.814418232717738e-06	1.105675e+00
5.914418232717738e-06	1.068708e+00
5.995561902177584e-06	1.043830e+00
6.075031759514032e-06	1.022800e+00
6.152762323643075e-06	1.004806e+00
6.202478022629022e-06	9.943981e-01
6.247541582864053e-06	9.856214e-01
6.290117823547671e-06	9.778139e-01
6.330451534339856e-06	9.708398e-01
6.371180291430762e-06	9.641450e-01
6.417908784091129e-06	9.568920e-01
6.487702692183963e-06	9.467622e-01
6.551807171586233e-06	9.381568e-01
6.602879930771675e-06	9.316971e-01
6.655441915661802e-06	9.254068e-01
6.707918107986793e-06	9.194196e-01
6.760068690297472e-06	9.137662e-01
6.805655849263160e-06	9.090145e-01
6.856600825135051e-06	9.039322e-01
6.903312285677415e-06	8.994321e-01
6.973879742675323e-06	8.929472e-01
7.033267485512799e-06	8.877187e-01
7.086613509026576e-06	8.832126e-01
7.139976674471969e-06	8.788345e-01
7.205544584566645e-06	8.736604e-01
7.305544584566644e-06	8.660908e-01
7.405544584566644e-06	8.589066e-01
7.492048902139523e-06	8.529284e-01
7.570124895710542e-06	8.477274e-01
7.655478705364503e-06	8.421890e-01
7.742235005025234e-06	8.367379e-01
7.842235005025235e-06	8.306070e-01
7.942235005025235e-06	8.246578e-01
8.042235005025236e-06	8.188294e-01
8.142235005025237e-06	8.131432e-01
8.242235005025238e-06	8.075439e-01
8.342235005025238e-06	8.020577e-01
8.442235005025239e-06	7.966340e-01
8.542235005025240e-06	7.913025e-01
8.642235005025241e-06	7.860154e-01
8.742235005025241e-06	7.808054e-01
8.842235005025242e-06	7.756265e-01
8.942235005025243e-06	7.705137e-01
9.042235005025244e-06	7.654223e-01
9.142235005025244e-06	7.603888e-01
9.242235005025245e-06	7.553698e-01
9.342235005025246e-06	7.504027e-01
9.442235005025246e-06	7.454449e-01
9.542235005025247e-06	7.405346e-01
9.642235005025248e-06	7.356299e-01
9.742235005025249e-06	7.307695e-01
9.842235005025249e-06	7.259119e-01
9.942235005025250e-06	7.210964e-01
1.004223500502525e-05	7.162816e-01
1.014223500502525e-05	7.115072e-01
1.024223500502525e-05	7.067321e-01
1.034223500502525e-05	7.019961e-01
1.044223500502525e-05	6.972583e-01
1.054223500502525e-05	6.925588e-01
1.064223500502526e-05	6.878567e-01
1.074223500502526e-05	6.831922e-01
1.084223500502526e-05	6.785246e-01
1.094223500502526e-05	6.738942e-01
1.104223500502526e-05	6.692603e-01
1.114223500502526e-05	6.646633e-01
1.124223500502526e-05	6.600624e-01
1.134223500502526e-05	6.554983e-01
1.144223500502526e-05	6.509302e-01
1.154223500502526e-05	6.463987e-01
1.164223500502526e-05	6.418632e-01
1.174223500502526e-05	6.373642e-01
1.184223500502526e-05	6.328613e-01
1.194223500502526e-05	6.283949e-01
1.204223500502527e-05	6.239247e-01
1.214223500502527e-05	6.194912e-01
1.224223500502527e-05	6.150542e-01
1.234223500502527e-05	6.106541e-01
1.244223500502527e-05	6.062508e-01
1.254223500502527e-05	6.018848e-01
1.264223500502527e-05	5.975161e-01
1.274223500502527e-05	5.931853e-01
1.284223500502527e-05	5.888524e-01
1.294223500502527e-05	5.845582e-01
1.304223500502527e-05	5.802629e-01
1.314223500502527e-05	5.760074e-01
1.324223500502527e-05	5.717523e-01
1.334223500502528e-05	5.675385e-01
1.344223500502528e-05	5.633270e-01
1.354223500502528e-05	5.591591e-01
1.364223500502528e-05	5.549963e-01
1.374223500502528e-05	5.508803e-01
1.384223500502528e-05	5.467732e-01
1.394223500502528e-05	5.427175e-01
