time	V(vo)
0.000000000000000e+00	4.961877e+00
5.000000000000000e-06	4.961877e+00
5.059283027312145e-06	4.961877e+00
5.060003754228357e-06	4.959968e+00
5.060379259128359e-06	4.959067e+00
5.060842202169449e-06	4.958168e+00
5.061190416262065e-06	4.957555e+00
5.061572074680013e-06	4.956965e+00
5.061959676126521e-06	4.956394e+00
5.062367172067370e-06	4.955849e+00
5.062852577835457e-06	4.955226e+00
5.063409742816494e-06	4.954569e+00
5.064113259203034e-06	4.953789e+00
5.065008101723891e-06	4.952891e+00
5.066180556507413e-06	4.951831e+00
5.067762877126372e-06	4.950608e+00
5.069909981584156e-06	4.949249e+00
5.072881723698187e-06	4.947840e+00
5.077014272986586e-06	4.946508e+00
5.082809426993801e-06	4.945403e+00
5.090948348375945e-06	4.944565e+00
5.099999999999999e-06	4.944032e+00
5.100905165162405e-06	4.943987e+00
5.102715495487215e-06	4.943903e+00
5.106336156136837e-06	4.943745e+00
5.112342847566825e-06	4.943506e+00
5.124356230426798e-06	4.943115e+00
5.148382996146746e-06	4.942705e+00
5.184188108304585e-06	4.943012e+00
5.244547998617668e-06	4.945513e+00
5.312567049730756e-06	4.950240e+00
5.366062344625699e-06	4.954651e+00
5.411827791052801e-06	4.958533e+00
5.459322787148286e-06	4.962410e+00
5.511436479884780e-06	4.966238e+00
5.584662604646728e-06	4.970388e+00
5.673100988372508e-06	4.972821e+00
5.739963846478791e-06	4.972511e+00
5.812065448376682e-06	4.970223e+00
5.874917820775780e-06	4.967026e+00
5.932765723490333e-06	4.963683e+00
5.991229070158101e-06	4.960513e+00
6.064909422420063e-06	4.957541e+00
6.153440563413413e-06	4.956000e+00
6.218251311500018e-06	4.956254e+00
6.270259802649637e-06	4.957120e+00
6.330547301868366e-06	4.958595e+00
6.389528626692781e-06	4.960272e+00
6.445686711647229e-06	4.961864e+00
6.507747679677334e-06	4.963395e+00
6.597014671651188e-06	4.964843e+00
6.685155387079028e-06	4.965208e+00
6.743661219325089e-06	4.964866e+00
6.799429664235455e-06	4.964193e+00
6.855316721888766e-06	4.963304e+00
6.912666066314488e-06	4.962314e+00
6.971679143296090e-06	4.961366e+00
7.056055838473363e-06	4.960380e+00
7.141238303216559e-06	4.959970e+00
7.199482409688762e-06	4.960038e+00
7.254697574932127e-06	4.960319e+00
7.310390618454275e-06	4.960748e+00
7.367268847148531e-06	4.961266e+00
7.424454009542939e-06	4.961790e+00
7.487518053970654e-06	4.962294e+00
7.579392137743045e-06	4.962765e+00
7.662456009368829e-06	4.962869e+00
7.720541642432793e-06	4.962764e+00
7.777189086706823e-06	4.962554e+00
7.833924514713774e-06	4.962276e+00
7.891141232624411e-06	4.961972e+00
7.952472105056433e-06	4.961670e+00
8.040752107325278e-06	4.961358e+00
8.120532553811351e-06	4.961241e+00
8.177675384891591e-06	4.961258e+00
8.233037314903382e-06	4.961343e+00
8.288771167837688e-06	4.961476e+00
8.346021979371107e-06	4.961639e+00
8.403695025006686e-06	4.961806e+00
8.463732893846247e-06	4.961958e+00
8.550060619380920e-06	4.962105e+00
8.650060619380921e-06	4.962145e+00
8.717189836438791e-06	4.962099e+00
8.773064180971870e-06	4.962027e+00
8.829822425996496e-06	4.961937e+00
8.886583277651294e-06	4.961843e+00
8.967170987441766e-06	4.961730e+00
9.065566812812713e-06	4.961649e+00
9.130718070573984e-06	4.961638e+00
9.186492851953559e-06	4.961655e+00
9.242774630473705e-06	4.961690e+00
9.313104518723216e-06	4.961750e+00
9.373973193972512e-06	4.961805e+00
9.435887559930816e-06	4.961857e+00
9.496210633887450e-06	4.961895e+00
9.584827739372912e-06	4.961922e+00
9.656580687648952e-06	4.961919e+00
9.716819990455920e-06	4.961901e+00
9.778361443277093e-06	4.961874e+00
9.848124194369057e-06	4.961838e+00
9.925953583956753e-06	4.961802e+00
1.001434391715096e-05	4.961773e+00
1.009850693474845e-05	4.961764e+00
1.018869560658657e-05	4.961772e+00
1.028253308550789e-05	4.961794e+00
1.037088232090792e-05	4.961819e+00
1.046486494139611e-05	4.961842e+00
1.055352835238864e-05	4.961852e+00
1.065352835238864e-05	4.961852e+00
1.075352835238864e-05	4.961840e+00
1.085352835238864e-05	4.961824e+00
1.095352835238864e-05	4.961810e+00
1.105352835238864e-05	4.961803e+00
1.115352835238864e-05	4.961804e+00
1.125352835238864e-05	4.961811e+00
1.135352835238864e-05	4.961819e+00
1.145352835238865e-05	4.961827e+00
1.155352835238865e-05	4.961831e+00
1.165352835238865e-05	4.961831e+00
1.175352835238865e-05	4.961827e+00
1.185352835238865e-05	4.961822e+00
1.195352835238865e-05	4.961817e+00
1.205352835238865e-05	4.961815e+00
1.215352835238865e-05	4.961815e+00
1.225352835238865e-05	4.961818e+00
1.235352835238865e-05	4.961821e+00
1.245352835238865e-05	4.961823e+00
1.255352835238865e-05	4.961824e+00
1.265352835238865e-05	4.961824e+00
1.275352835238865e-05	4.961823e+00
1.285352835238866e-05	4.961821e+00
1.295352835238866e-05	4.961820e+00
1.305352835238866e-05	4.961819e+00
1.315352835238866e-05	4.961819e+00
1.325352835238866e-05	4.961820e+00
1.335352835238866e-05	4.961821e+00
1.345352835238866e-05	4.961822e+00
1.355352835238866e-05	4.961822e+00
1.365352835238866e-05	4.961822e+00
1.375352835238866e-05	4.961822e+00
1.385352835238866e-05	4.961821e+00
1.395352835238866e-05	4.961821e+00
1.405352835238866e-05	4.961821e+00
1.415352835238866e-05	4.961821e+00
1.425352835238867e-05	4.961821e+00
1.435352835238867e-05	4.961821e+00
1.445352835238867e-05	4.961821e+00
1.455352835238867e-05	4.961822e+00
1.465352835238867e-05	4.961822e+00
1.475352835238867e-05	4.961821e+00
1.485352835238867e-05	4.961821e+00
1.495352835238867e-05	4.961821e+00
1.505352835238867e-05	4.961821e+00
1.510000000000000e-05	4.961821e+00
1.510464716476113e-05	4.961821e+00
1.515624219448263e-05	4.961821e+00
1.516094948886574e-05	4.966664e+00
1.516299343705323e-05	4.969311e+00
1.516499298372589e-05	4.971052e+00
1.516688166808276e-05	4.972411e+00
1.516948032817567e-05	4.973882e+00
1.517207940022545e-05	4.975018e+00
1.517522223039311e-05	4.976059e+00
1.517911806218362e-05	4.977008e+00
1.518394312576730e-05	4.977825e+00
1.519053595574986e-05	4.978575e+00
1.520000000000000e-05	4.979255e+00
1.520094640442501e-05	4.979307e+00
1.520283921327504e-05	4.979405e+00
1.520662483097509e-05	4.979585e+00
1.521036569039821e-05	4.979744e+00
1.521784740924444e-05	4.980020e+00
1.523281084693690e-05	4.980433e+00
1.525414742688821e-05	4.980724e+00
1.528679575647863e-05	4.980461e+00
1.534719840129729e-05	4.977691e+00
1.541133155008616e-05	4.971992e+00
1.547243285388399e-05	4.965056e+00
1.552046430252363e-05	4.959548e+00
1.557121398848236e-05	4.954603e+00
1.562777101075146e-05	4.950848e+00
1.569723283569805e-05	4.949090e+00
1.576280093969663e-05	4.949978e+00
1.580969401449402e-05	4.951751e+00
1.585140067938717e-05	4.953844e+00
1.589427537120027e-05	4.956291e+00
1.593315933875587e-05	4.958623e+00
1.598028624750331e-05	4.961413e+00
1.603439941779717e-05	4.964348e+00
1.611387757105464e-05	4.967665e+00
1.618783366217158e-05	4.969310e+00
1.625548840607711e-05	4.969397e+00
1.631480711944170e-05	4.968393e+00
1.637517129542490e-05	4.966548e+00
1.643869229669503e-05	4.964095e+00
1.649797107377349e-05	4.961742e+00
1.656764389962890e-05	4.959422e+00
1.665547274698876e-05	4.957728e+00
1.673169396357239e-05	4.957520e+00
1.679033343155723e-05	4.958069e+00
1.685026315649894e-05	4.959081e+00
1.690758234401797e-05	4.960290e+00
1.696417575804846e-05	4.961541e+00
1.702187352544861e-05	4.962716e+00
1.710697987731868e-05	4.963993e+00
1.720388505340216e-05	4.964553e+00
1.726503737941641e-05	4.964383e+00
1.732144720778978e-05	4.963917e+00
1.737811205433429e-05	4.963242e+00
1.744070867949378e-05	4.962388e+00
1.749981893001001e-05	4.961605e+00
1.758203427505406e-05	4.960763e+00
1.768203427505406e-05	4.960312e+00
1.774394867065324e-05	4.960373e+00
1.780006711982204e-05	4.960618e+00
1.785661677110985e-05	4.960993e+00
1.791423472511123e-05	4.961442e+00
1.797223827428330e-05	4.961899e+00
1.803808619958963e-05	4.962346e+00
1.813113652424180e-05	4.962740e+00
1.821012546653750e-05	4.962812e+00
1.826838389413116e-05	4.962714e+00
1.832572057008946e-05	4.962519e+00
1.838316130528624e-05	4.962263e+00
1.844122408635111e-05	4.961984e+00
1.850664584470142e-05	4.961694e+00
1.859650911080714e-05	4.961415e+00
1.867505606006518e-05	4.961322e+00
1.873279808648966e-05	4.961347e+00
1.878944122170212e-05	4.961436e+00
1.884633120974932e-05	4.961572e+00
1.890430652598197e-05	4.961733e+00
1.896276428346931e-05	4.961895e+00
1.902313074538734e-05	4.962040e+00
1.911395199815323e-05	4.962178e+00
1.919874226476559e-05	4.962205e+00
1.925836513393727e-05	4.962167e+00
1.931523567255429e-05	4.962097e+00
1.937240046622132e-05	4.962006e+00
1.943025466982793e-05	4.961908e+00
1.950836142391728e-05	4.961791e+00
1.960395759734921e-05	4.961699e+00
1.967065773327165e-05	4.961680e+00
1.972738143429229e-05	4.961693e+00
1.978527750756980e-05	4.961728e+00
1.985766824991935e-05	4.961792e+00
1.991845120562186e-05	4.961853e+00
1.998303627616228e-05	4.961913e+00
2.004256220337519e-05	4.961957e+00
2.012631912799644e-05	4.961990e+00
2.020312715101880e-05	4.961990e+00
2.026646840908306e-05	4.961970e+00
2.033185720948229e-05	4.961938e+00
2.039821688281148e-05	4.961899e+00
2.046044060187677e-05	4.961864e+00
2.052679847412196e-05	4.961833e+00
2.059476400348128e-05	4.961813e+00
2.066454145921563e-05	4.961808e+00
2.074128705311673e-05	4.961817e+00
2.083059818439376e-05	4.961842e+00
2.091583705995978e-05	4.961872e+00
2.099606482452444e-05	4.961896e+00
2.108147557179318e-05	4.961914e+00
2.118049707487859e-05	4.961917e+00
2.128049707487859e-05	4.961906e+00
2.138049707487859e-05	4.961887e+00
2.148049707487859e-05	4.961867e+00
2.158049707487859e-05	4.961854e+00
2.168049707487859e-05	4.961852e+00
2.178049707487859e-05	4.961859e+00
2.188049707487859e-05	4.961871e+00
2.198049707487859e-05	4.961883e+00
2.208049707487858e-05	4.961890e+00
2.218049707487858e-05	4.961892e+00
2.228049707487858e-05	4.961888e+00
2.238049707487858e-05	4.961881e+00
2.248049707487858e-05	4.961874e+00
2.258049707487858e-05	4.961869e+00
2.268049707487858e-05	4.961868e+00
2.278049707487858e-05	4.961870e+00
2.288049707487858e-05	4.961874e+00
2.298049707487858e-05	4.961879e+00
2.308049707487858e-05	4.961882e+00
2.318049707487857e-05	4.961882e+00
2.328049707487857e-05	4.961881e+00
2.338049707487857e-05	4.961878e+00
2.348049707487857e-05	4.961875e+00
2.358049707487857e-05	4.961874e+00
2.368049707487857e-05	4.961874e+00
2.378049707487857e-05	4.961874e+00
2.388049707487857e-05	4.961876e+00
2.398049707487857e-05	4.961877e+00
2.408049707487857e-05	4.961878e+00
2.418049707487856e-05	4.961879e+00
2.428049707487856e-05	4.961878e+00
2.438049707487856e-05	4.961877e+00
2.448049707487856e-05	4.961876e+00
2.458049707487856e-05	4.961875e+00
2.468049707487856e-05	4.961875e+00
2.478049707487856e-05	4.961876e+00
2.488049707487856e-05	4.961876e+00
2.498049707487856e-05	4.961877e+00
2.500000000000000e-05	4.961877e+00
2.500195029251214e-05	4.961877e+00
2.500585087753643e-05	4.961877e+00
2.501365204758501e-05	4.961877e+00
2.502925438768216e-05	4.961877e+00
2.504033100418357e-05	4.961877e+00
2.504915653052950e-05	4.961877e+00
2.505606495189975e-05	4.961877e+00
2.505960355383230e-05	4.961877e+00
2.506143506902254e-05	4.958895e+00
2.506230924100944e-05	4.957243e+00
2.506338532757432e-05	4.955700e+00
2.506449466969898e-05	4.954357e+00
2.506570398563385e-05	4.953094e+00
2.506710556606520e-05	4.951812e+00
2.506864801678180e-05	4.950622e+00
2.507046475864520e-05	4.949449e+00
2.507256323641231e-05	4.948370e+00
2.507503816534010e-05	4.947376e+00
2.507798839821398e-05	4.946508e+00
2.508150687815564e-05	4.945766e+00
2.508586145555053e-05	4.945150e+00
2.509162386345084e-05	4.944603e+00
2.509966309524170e-05	4.944102e+00
2.510000000000000e-05	4.944080e+00
2.510003369047582e-05	4.944080e+00
2.510010107142748e-05	4.944077e+00
2.510023583333080e-05	4.944070e+00
2.510050535713743e-05	4.944057e+00
2.510095591448613e-05	4.944035e+00
2.510185702918353e-05	4.943990e+00
2.510365925857832e-05	4.943905e+00
2.510726371736791e-05	4.943745e+00
2.511447263494707e-05	4.943460e+00
2.512889047010541e-05	4.943020e+00
2.515772614042209e-05	4.942681e+00
2.519561555700267e-05	4.943293e+00
2.526982007893006e-05	4.947004e+00
2.533822185028463e-05	4.952202e+00
2.538868124341289e-05	4.956461e+00
2.543462009225305e-05	4.960322e+00
2.548099489660572e-05	4.963981e+00
2.554359018862673e-05	4.968199e+00
2.562100112150295e-05	4.971736e+00
