IRL	V(vo)
0.000000000000000e+00	4.961877e+00
2.000000000000000e-01	4.961118e+00
4.000000000000000e-01	4.960744e+00
6.000000000000001e-01	4.960454e+00
8.000000000000000e-01	4.960206e+00
1.000000000000000e+00	4.959987e+00
1.200000000000000e+00	4.959786e+00
1.400000000000000e+00	4.959602e+00
1.600000000000000e+00	4.959428e+00
1.800000000000000e+00	4.959223e+00
2.000000000000000e+00	4.959096e+00
2.200000000000000e+00	4.958885e+00
2.400000000000000e+00	-4.621587e+01
2.600000000000000e+00	-4.625856e+01
2.800000000000000e+00	-4.630122e+01
3.000000000000000e+00	-4.634353e+01
3.200000000000000e+00	-4.638549e+01
3.400000000000000e+00	-4.642675e+01
3.600000000000000e+00	-4.646617e+01
3.800000000000000e+00	-4.650315e+01
4.000000000000000e+00	-4.653817e+01
