V2	V(vcc)	V(vo)
5.000000000000000e-01	5.000000e-01	-3.547532e-04
7.974683544303798e-01	7.974684e-01	-2.415646e-04
1.094936708860760e+00	1.094937e+00	-1.282151e-04
1.392405063291139e+00	1.392405e+00	-1.238034e-05
1.689873417721519e+00	1.689873e+00	1.966189e-05
1.987341772151899e+00	1.987342e+00	2.101481e-05
2.284810126582278e+00	2.284810e+00	2.236543e-05
2.582278481012658e+00	2.582278e+00	2.371605e-05
2.879746835443038e+00	2.879747e+00	2.506668e-05
3.177215189873417e+00	3.177215e+00	2.641730e-05
3.474683544303797e+00	3.474684e+00	2.776793e-05
3.772151898734177e+00	3.772152e+00	1.610924e+00
4.069620253164556e+00	4.069620e+00	3.606897e+00
4.367088607594937e+00	4.367089e+00	4.215674e+00
4.664556962025316e+00	4.664557e+00	4.530711e+00
4.962025316455696e+00	4.962025e+00	4.830669e+00
5.259493670886076e+00	5.259494e+00	4.955945e+00
5.556962025316455e+00	5.556962e+00	4.956503e+00
5.854430379746835e+00	5.854430e+00	4.956975e+00
6.151898734177215e+00	6.151899e+00	4.957388e+00
6.449367088607595e+00	6.449367e+00	4.957781e+00
6.746835443037974e+00	6.746835e+00	4.958109e+00
7.044303797468354e+00	7.044304e+00	4.958416e+00
7.341772151898733e+00	7.341772e+00	4.958702e+00
7.639240506329113e+00	7.639241e+00	4.958970e+00
7.936708860759493e+00	7.936709e+00	4.959223e+00
8.234177215189874e+00	8.234178e+00	4.959456e+00
8.531645569620252e+00	8.531646e+00	4.959686e+00
8.829113924050633e+00	8.829114e+00	4.959907e+00
9.126582278481012e+00	9.126582e+00	4.960124e+00
9.424050632911392e+00	9.424050e+00	4.960327e+00
9.721518987341771e+00	9.721519e+00	4.960523e+00
1.001898734177215e+01	1.001899e+01	4.960713e+00
1.031645569620253e+01	1.031646e+01	4.960897e+00
1.061392405063291e+01	1.061392e+01	4.961076e+00
1.091139240506329e+01	1.091139e+01	4.961250e+00
1.120886075949367e+01	1.120886e+01	4.961420e+00
1.150632911392405e+01	1.150633e+01	4.961585e+00
1.180379746835443e+01	1.180380e+01	4.961747e+00
1.210126582278481e+01	1.210127e+01	4.961905e+00
1.239873417721519e+01	1.239873e+01	4.962059e+00
1.269620253164557e+01	1.269620e+01	4.962211e+00
1.299367088607595e+01	1.299367e+01	4.962359e+00
1.329113924050633e+01	1.329114e+01	4.962505e+00
1.358860759493671e+01	1.358861e+01	4.962648e+00
1.388607594936709e+01	1.388608e+01	4.962789e+00
1.418354430379747e+01	1.418354e+01	4.962927e+00
1.448101265822785e+01	1.448101e+01	4.963063e+00
1.477848101265823e+01	1.477848e+01	4.963197e+00
1.507594936708861e+01	1.507595e+01	4.963329e+00
1.537341772151899e+01	1.537342e+01	4.963459e+00
1.567088607594937e+01	1.567089e+01	4.963587e+00
1.596835443037975e+01	1.596835e+01	4.963713e+00
1.626582278481013e+01	1.626582e+01	4.963838e+00
1.656329113924050e+01	1.656329e+01	4.963961e+00
1.686075949367088e+01	1.686076e+01	4.964082e+00
1.715822784810127e+01	1.715823e+01	4.964202e+00
1.745569620253164e+01	1.745570e+01	4.964320e+00
1.775316455696202e+01	1.775316e+01	4.964437e+00
1.805063291139241e+01	1.805063e+01	4.964553e+00
1.834810126582278e+01	1.834810e+01	4.964667e+00
1.864556962025316e+01	1.864557e+01	4.964780e+00
1.894303797468354e+01	1.894304e+01	4.964892e+00
1.924050632911392e+01	1.924051e+01	4.965003e+00
1.953797468354430e+01	1.953798e+01	4.965112e+00
1.983544303797468e+01	1.983544e+01	4.965220e+00
2.013291139240506e+01	2.013291e+01	4.965327e+00
2.043037974683544e+01	2.043038e+01	4.965434e+00
2.072784810126582e+01	2.072785e+01	4.965539e+00
2.102531645569620e+01	2.102532e+01	4.965643e+00
2.132278481012658e+01	2.132278e+01	4.965746e+00
2.162025316455696e+01	2.162025e+01	4.965848e+00
2.191772151898734e+01	2.191772e+01	4.965950e+00
2.221518987341772e+01	2.221519e+01	4.966050e+00
2.251265822784810e+01	2.251266e+01	4.966150e+00
2.281012658227848e+01	2.281013e+01	4.966249e+00
2.310759493670886e+01	2.310760e+01	4.966346e+00
2.340506329113924e+01	2.340506e+01	4.966444e+00
2.370253164556962e+01	2.370253e+01	4.966540e+00
2.400000000000000e+01	2.400000e+01	4.966635e+00
