rl	V(vo)	I(R31)
5.000000000000000e-01	3.571516e-01	7.143032e-01
6.000000000000000e-01	4.361193e-01	7.268654e-01
7.000000000000000e-01	5.179167e-01	7.398810e-01
7.999999999999999e-01	6.027015e-01	7.533768e-01
8.999999999999999e-01	6.906348e-01	7.673721e-01
9.999999999999999e-01	7.819005e-01	7.819005e-01
1.100000000000000e+00	8.766873e-01	7.969884e-01
1.200000000000000e+00	9.752021e-01	8.126684e-01
1.300000000000000e+00	1.077673e+00	8.289796e-01
1.400000000000000e+00	1.184343e+00	8.459589e-01
1.500000000000000e+00	1.295477e+00	8.636512e-01
1.600000000000000e+00	1.411350e+00	8.820934e-01
1.700000000000000e+00	1.532284e+00	9.013436e-01
1.800000000000000e+00	1.658615e+00	9.214528e-01
1.900000000000001e+00	1.790711e+00	9.424797e-01
2.000000000000000e+00	1.928977e+00	9.644887e-01
2.100000000000001e+00	2.073856e+00	9.875503e-01
2.200000000000001e+00	2.225832e+00	1.011742e+00
2.300000000000001e+00	2.385441e+00	1.037148e+00
2.400000000000001e+00	2.553273e+00	1.063864e+00
2.500000000000001e+00	2.729980e+00	1.091992e+00
2.600000000000001e+00	2.916294e+00	1.121652e+00
2.700000000000001e+00	3.112991e+00	1.152960e+00
2.800000000000001e+00	3.320996e+00	1.186070e+00
2.900000000000001e+00	3.541308e+00	1.221141e+00
3.000000000000001e+00	3.775042e+00	1.258347e+00
3.100000000000001e+00	4.023458e+00	1.297890e+00
3.200000000000002e+00	4.288007e+00	1.340002e+00
3.300000000000002e+00	4.570282e+00	1.384934e+00
3.400000000000002e+00	4.872166e+00	1.432990e+00
3.500000000000002e+00	4.998141e+00	1.428040e+00
3.600000000000002e+00	4.998156e+00	1.388377e+00
3.700000000000002e+00	4.998187e+00	1.350861e+00
3.800000000000002e+00	4.998183e+00	1.315311e+00
3.900000000000002e+00	4.998206e+00	1.281591e+00
4.000000000000000e+00	4.998219e+00	1.249555e+00
